Language,Task,DT,RF,SVM,LR,DT+RF,DT+SVM,DT+LR,RF+SVM,RF+LR,SVM+LR,DT+RF+SVM,DT+RF+LR,DT+SVM+LR,RF+SVM+LR,DT+RF+SVM+LR
English,binary,77.0 +/- 2.8,82.9 +/- 2.1,88.9 +/- 1.4,85.3 +/- 3.7,78.0 +/- 2.9,78.6 +/- 2.6,78.6 +/- 2.6,87.9 +/- 1.6,86.4 +/- 2.8,88.1 +/- 1.6,86.4 +/- 1.1,84.4 +/- 2.6,87.7 +/- 2.0,87.4 +/- 2.2,86.8 +/- 1.7
Greek,binary,67.9 +/- 8.0,70.2 +/- 6.3,76.3 +/- 6.3,79.1 +/- 3.3,67.4 +/- 8.2,67.4 +/- 8.4,69.3 +/- 7.1,75.8 +/- 2.8,77.2 +/- 2.7,79.1 +/- 4.9,74.9 +/- 6.8,74.9 +/- 8.1,78.6 +/- 5.4,78.6 +/- 3.7,76.3 +/- 4.5
Chinese,binary,67.5 +/- 4.0,66.8 +/- 0.9,69.8 +/- 2.7,68.6 +/- 3.8,67.5 +/- 4.0,67.5 +/- 3.6,67.5 +/- 4.0,68.4 +/- 2.8,68.4 +/- 2.2,70.2 +/- 2.6,68.6 +/- 2.9,67.5 +/- 3.2,69.1 +/- 3.0,68.4 +/- 3.6,68.6 +/- 2.7
Spanish,binary,70.2 +/- 1.7,72.9 +/- 4.4,72.9 +/- 5.0,72.9 +/- 5.0,70.2 +/- 1.7,70.2 +/- 1.7,70.2 +/- 1.7,73.6 +/- 4.6,73.2 +/- 5.0,73.2 +/- 6.2,73.2 +/- 2.9,74.6 +/- 3.4,73.2 +/- 4.7,72.5 +/- 5.1,74.2 +/- 2.9
