run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_es_reading_clean_phase2,task_specific_semantic,50,9,lr,c1,0.7286821705426356,0.7087517934002869,0.6666666666666666,0.7906976744186046,0.5263157894736842,0.7922480620155039,0.6600831179402608,0.7586206896551724
language_es_reading_clean_phase2,task_specific_semantic,100,9,lr,c1,0.7286821705426356,0.7087517934002869,0.6666666666666666,0.7906976744186046,0.5263157894736842,0.7922480620155039,0.6600831179402608,0.7586206896551724
language_es_reading_clean_phase2,semantic_plus_pause,50,11,svm,linear_c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7472868217054264,0.5545241162346425,0.7586206896551724
language_es_reading_clean_phase2,semantic_plus_pause,100,11,svm,linear_c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7472868217054264,0.5545241162346425,0.7586206896551724
language_es_reading_clean_phase2,semantic_plus_pause,50,11,lr,c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7271317829457364,0.5494797864108687,0.7586206896551724
language_es_reading_clean_phase2,semantic_plus_pause,100,11,lr,c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7271317829457364,0.5494797864108687,0.7586206896551724
language_es_reading_clean_phase2,task_specific_semantic,50,9,rf,n200,0.5767441860465117,0.5770833333333333,0.2,0.9534883720930232,0.6,0.6403100775193798,0.468499619497868,0.7586206896551724
language_es_reading_clean_phase2,task_specific_semantic,100,9,rf,n200,0.5767441860465117,0.5770833333333333,0.2,0.9534883720930232,0.6,0.6403100775193798,0.468499619497868,0.7586206896551724
language_es_reading_clean_phase2,task_specific_semantic,50,9,svm,linear_c1,0.6953488372093023,0.6823658269441402,0.6,0.7906976744186046,0.5,0.7891472868217054,0.6559020740256438,0.7413793103448276
language_es_reading_clean_phase2,task_specific_semantic,100,9,svm,linear_c1,0.6953488372093023,0.6823658269441402,0.6,0.7906976744186046,0.5,0.7891472868217054,0.6559020740256438,0.7413793103448276
language_es_reading_clean_phase2,semantic_plus_pause,50,11,svm,rbf_c1,0.7170542635658914,0.693121693121693,0.6666666666666666,0.7674418604651163,0.5,0.7829457364341086,0.4905380156242225,0.7413793103448276
language_es_reading_clean_phase2,semantic_plus_pause,100,11,svm,rbf_c1,0.7170542635658914,0.693121693121693,0.6666666666666666,0.7674418604651163,0.5,0.7829457364341086,0.4905380156242225,0.7413793103448276
language_es_reading_clean_phase2,all_phase2,100,100,rf,n200,0.5217054263565891,0.483065953654189,0.0666666666666666,0.9767441860465116,0.5,0.6775193798449612,0.4288452894668521,0.7413793103448276
language_es_reading_clean_phase2,phase1_universal,50,50,rf,n200,0.5217054263565891,0.483065953654189,0.0666666666666666,0.9767441860465116,0.5,0.6294573643410853,0.4222453777790689,0.7413793103448276
language_es_reading_clean_phase2,rich_universal,50,50,rf,n200,0.5217054263565891,0.483065953654189,0.0666666666666666,0.9767441860465116,0.5,0.6294573643410852,0.3581419125536772,0.7413793103448276
language_es_reading_clean_phase2,semantic_plus_pause,50,11,rf,n200,0.5651162790697675,0.5639097744360901,0.2,0.9302325581395348,0.5,0.641860465116279,0.4460818691112809,0.7413793103448275
language_es_reading_clean_phase2,semantic_plus_pause,100,11,rf,n200,0.5651162790697675,0.5639097744360901,0.2,0.9302325581395348,0.5,0.641860465116279,0.4460818691112809,0.7413793103448275
