feature_name,importance_mean,importance_std,feature_group
syn_aux_ratio,0.08823339364176783,0.015251978244967936,syn
syn_pronoun_ratio,0.0669165158955802,0.02461551146720347,syn
syn_mean_dependency_length,0.04975445851641247,0.005758458221545954,syn
syn_num_ratio,0.04795166709744112,0.012410519337286508,syn
syn_clause_density,0.03449211682605322,0.015109669882121576,syn
graph_density,0.032889635564745404,0.01086949017153914,graph
syn_determiner_ratio,0.026053243732230523,0.02106497969519369,syn
len_utterance_count,0.017136210907211135,0.00922597319865215,len
syn_utterance_count,0.017136210907211135,0.00922597319865215,syn
lex_function_word_ratio,0.015087878004652323,0.008785590884241398,lex
disc_adjacent_utterance_similarity_std,0.013375549237529016,0.006407794702226412,disc
syn_noun_ratio,0.01149521840268799,0.010131713983208716,syn
syn_cconj_ratio,0.009692426983716685,0.003379370610769689,syn
syn_aux_verb_ratio,0.00955673300594464,0.00721118883576917,syn
lex_mean_token_length,0.0095050400620315,0.00430337936760183,lex
graph_node_count,0.009188420780563412,0.007548447643003356,graph
len_type_count,0.009188420780563412,0.007548447643003356,len
syn_std_dependency_length,0.008968725768932507,0.010978887949472046,syn
len_syllable_count,0.008755492375290719,0.006595568175482833,len
syn_adj_ratio,0.007973636598604238,0.0009630629217937776,syn
syn_adp_ratio,0.0073791677436029655,0.004374023809929199,syn
syn_interjection_ratio,0.006674851382786206,0.007516408905708074,syn
syn_verb_ratio,0.006241922977513514,0.002295775680110953,syn
syn_part_ratio,0.005376066166968152,0.00781202934112532,syn
lex_content_word_ratio,0.004548979064357672,0.0015453132004582817,lex
syn_propn_ratio,0.004510209356422834,0.008424537499346602,syn
disc_mean_pairwise_utt_similarity,0.00446497803049879,0.0026780580919544563,disc
pause_filled_count,0.004193590074954723,0.003873059541685304,pause
syn_subordination_ratio,0.0036960454897906115,0.005467407100588636,syn
syn_nsubj_ratio,0.0034246575342465,0.0010829718014275314,syn
syn_mean_utterance_length_words,0.00255880072370116,0.005368177515911123,syn
len_mean_utterance_length,0.00255880072370116,0.005368177515911123,len
disc_semantic_drift,0.002494184543809741,0.007990422279001841,disc
disc_adjacent_utterance_similarity_mean,0.002494184543809741,0.007990422279001841,disc
disc_local_coherence,0.002494184543809741,0.007990422279001841,disc
syn_adv_ratio,0.0023584905660376963,0.008998554167123177,syn
syn_mean_tree_depth,0.002054794520547887,0.0016777327005363758,syn
syn_max_dependency_length,0.002054794520547887,0.0016777327005363758,syn
syn_advmod_ratio,0.0014538640475574738,0.0032011432023961346,syn
syn_determiner_noun_ratio,0.001356939777720312,0.009610057511101945,syn
syn_obl_ratio,0.0012729387438614292,0.004726425113697274,syn
len_tokens_per_utterance,0.0011953993279916642,0.002986707740739107,len
syn_obj_ratio,0.0011113982941328038,0.0016178064334651254,syn
syn_content_function_ratio,0.000504006203153251,0.0037963091772434472,syn
disc_repeated_trigram_ratio,0.0003360041354354415,0.0034422658943278825,disc
syn_max_tree_depth,8.400103385881596e-05,0.006904764166938437,syn
disc_repeated_bigram_ratio,0.0,0.0,disc
pause_filled_per_100_words,-0.00016800206771780957,0.005492542530103982,pause
len_std_utterance_length,-0.00034246575342467,0.0006849315068493399,len
syn_noun_verb_ratio,-0.003263117084518008,0.002810989497823255,syn
