feature_name,feature_label,feature_group,task_type,paper_task_labels,diagnostic_strength_within_task,language_specificity_within_task,direction_consistency,valid_languages,valid_cells,languages,cell_ids,max_abs_effect,significant_cells,top50_cells
rd_reference_order_score,reference order score,rd,READING,NA,0.7485565441050187,,1.0,1,1,es,es|READING,0.7485565441050187,0,1
rd_content_word_recall_ratio,content word recall ratio,rd,READING,NA,0.7362889444539968,,1.0,1,1,es,es|READING,0.7362889444539968,0,1
rd_reference_token_coverage,reference token coverage,rd,READING,NA,0.7230619742470304,,1.0,1,1,es,es|READING,0.7230619742470304,0,1
rd_omission_ratio,omission ratio,rd,READING,NA,0.7230619742470298,,1.0,1,1,es,es|READING,0.7230619742470298,0,1
cmd_device_keyword_ratio,device keyword ratio,cmd,COMMAND,FC,0.6447935195098007,,1.0,1,1,en,en|COMMAND,0.6447935195098007,0,1
rd_repetition_ratio,repetition ratio,rd,READING,NA,0.5864184749695455,,1.0,1,1,es,es|READING,0.5864184749695455,0,1
rep_token_count,token count,rep,REPETITION,FT|PD,0.46119070226060793,,1.0,1,1,el,el|REPETITION,0.46119070226060793,0,0
cmd_mean_utterance_length,mean utterance length,cmd,COMMAND,FC,0.46002543356364195,,1.0,1,1,en,en|COMMAND,0.46002543356364195,0,1
rep_reference_token_coverage,reference token coverage,rep,REPETITION,FT|PD,0.36538386912092446,,1.0,1,1,el,el|REPETITION,0.36538386912092446,0,0
cmd_request_marker_ratio,request marker ratio,cmd,COMMAND,FC,0.335593323094999,,1.0,1,1,en,en|COMMAND,0.335593323094999,0,1
rep_immediate_repetition_count,immediate repetition count,rep,REPETITION,FT|PD,0.2988071523335984,,1.0,1,1,el,el|REPETITION,0.2988071523335984,0,0
rep_repetition_rate,repetition rate,rep,REPETITION,FT|PD,0.2820654426368573,,1.0,1,1,el,el|REPETITION,0.2820654426368573,0,0
rep_unique_token_ratio,unique token ratio,rep,REPETITION,FT|PD,0.2820654426368573,,1.0,1,1,el,el|REPETITION,0.2820654426368573,0,0
cmd_repetition_rate,repetition rate,cmd,COMMAND,FC,0.27164996982752465,,1.0,1,1,en,en|COMMAND,0.27164996982752465,0,0
cmd_unique_token_ratio,unique token ratio,cmd,COMMAND,FC,0.2665348460278765,,1.0,1,1,en,en|COMMAND,0.2665348460278765,0,0
sr_repetition_rate,repetition rate,sr,PICTURE_RECALL,FT|PD,0.2549735014313235,,1.0,1,1,el,el|PICTURE_RECALL,0.2549735014313235,0,0
rep_sequence_match_to_reference,sequence match to reference,rep,REPETITION,FT|PD,0.24787298477727704,,1.0,1,1,el,el|REPETITION,0.24787298477727704,0,0
sr_intrusion_count,intrusion count,sr,PICTURE_RECALL,FT|PD,0.2166407431581352,,1.0,1,1,el,el|PICTURE_RECALL,0.2166407431581352,0,0
sr_event_order_score,event order score,sr,PICTURE_RECALL,FT|PD,0.20757756108309408,,1.0,1,1,el,el|PICTURE_RECALL,0.20757756108309408,0,0
rep_duration_per_token,duration per token,rep,REPETITION,FT|PD,0.18235193964191126,,1.0,1,1,el,el|REPETITION,0.18235193964191126,0,0
rep_bigram_repetition_rate,bigram repetition rate,rep,REPETITION,FT|PD,0.0725911374774099,,1.0,1,1,el,el|REPETITION,0.0725911374774099,0,0
cmd_action_verb_ratio,action verb ratio,cmd,COMMAND,FC,0.014235326478129086,,1.0,1,1,en,en|COMMAND,0.014235326478129086,0,0
