feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
pd_unique_unit_efficiency,unique unit efficiency,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.019696566470217513,0.028666443468796078,-0.2073021088026302,0.2073021088026302,lower_in_AD,0.2925621183180782,0.2887154422386937,1.0,1.0,False,False,12.0,12.0,False,False,False,False,True,True,True,True,True,True
pd_total_unit_efficiency,total unit efficiency,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.030144379104371653,0.03865785140763075,-0.136486088375602,0.136486088375602,lower_in_AD,0.4864268642053979,0.4841822516490073,1.0,1.0,False,False,19.0,19.0,False,False,False,False,True,True,True,True,True,True
pd_percentage_units_mentioned,PD units mentioned,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.16,0.2215686274509804,-0.37669387999824167,0.37669387999824167,lower_in_AD,0.058928848256112484,0.05536321758940948,1.0,1.0,False,False,4.0,4.0,True,True,True,True,True,True,True,True,True,True
pd_keyword_ttr,keyword ttr,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,41,35,1.899912891986063,2.2765512265512267,-0.433576949506257,0.433576949506257,lower_in_AD,0.06226486040969622,0.0634905715762235,1.0,1.0,False,False,5.0,5.0,True,True,True,True,True,True,True,True,True,True
pd_mean_utterance_to_unit_similarity,mean utterance to unit similarity,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.017315565372948906,0.022297918446394758,-0.23668200347823445,0.23668200347823445,lower_in_AD,0.2317763708880588,0.2261589557196495,1.0,1.0,False,False,9.0,9.0,False,False,True,True,True,True,True,True,True,True
pd_global_prompt_coherence,global prompt coherence,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.03223168290869323,0.042193343899942254,-0.2787698621780744,0.2787698621780744,lower_in_AD,0.1593068886046236,0.15456259607532286,1.0,1.0,False,False,8.0,8.0,False,False,True,True,True,True,True,True,True,True
pd_detected_prompt_score,detected prompt score,pd,task:PD,True,PD_CTP,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,55,51,0.75,0.75,0.0,0.0,none,1.0,1.0,1.0,1.0,False,False,20.0,20.0,False,False,False,False,True,True,True,True,True,True
pd_unique_units_count,PD unique units count,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,9.581777777777779,11.869217552207243,-0.8379033526532051,0.8379033526532051,lower_in_AD,1.3552092713134981e-37,2.2036224348062095e-49,2.4393766883642967e-36,3.966520382651177e-48,True,True,3.0,3.0,True,True,True,True,True,True,True,True,True,True
pd_unique_units_ratio,PD unique units ratio,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.5323209876543209,0.6641494912113468,-0.8804972945290428,0.8804972945290428,lower_in_AD,3.5668155564049923e-40,5.177854914221486e-54,6.420268001528987e-39,9.320138845598675e-53,True,True,1.0,1.0,True,True,True,True,True,True,True,True,True,True
pd_total_unit_mentions,total unit mentions,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,15.15485185185185,19.296590007930213,-0.5783555125603347,0.5783555125603347,lower_in_AD,7.837302067421878e-26,3.5447343347046766e-25,1.4107143721359381e-24,6.380521802468418e-24,True,True,5.0,5.0,True,True,True,True,True,True,True,True,True,True
pd_content_density,content density,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.15884953746341152,0.16036474905991638,-0.025438243647931544,0.025438243647931544,lower_in_AD,0.6855433338692223,0.6432361485769815,1.0,1.0,False,False,16.0,16.0,False,False,False,False,True,True,True,True,True,True
pd_object_units_ratio,object units ratio,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,446,1261,0.819312367165412,0.8056162683931425,0.14637011547266227,0.14637011547266227,higher_in_AD,0.01443960544199659,0.007961972404756865,0.25991289795593864,0.14331550328562356,False,False,9.0,11.0,False,False,True,False,True,True,True,True,True,True
pd_action_units_ratio,action units ratio,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,446,1261,0.1806876328345881,0.19438373160685754,-0.14637011547266138,0.14637011547266138,lower_in_AD,0.014439605441997181,0.00796197240475688,0.25991289795594924,0.14331550328562384,False,False,10.0,12.0,False,False,True,False,True,True,True,True,True,True
pd_keyword_to_nonkeyword_ratio,keyword to nonkeyword ratio,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.19879230069881368,0.19663414624778533,0.02321550751696596,0.02321550751696596,higher_in_AD,0.7165090739743141,0.672507163733605,1.0,1.0,False,False,18.0,18.0,False,False,False,False,True,True,True,True,True,True
pd_repeated_content_unit_ratio,repeated content unit ratio,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,446,1261,0.3193214706299626,0.3382175052518769,-0.12881366667957045,0.12881366667957045,lower_in_AD,0.029437049714585065,0.019495169641794846,0.5298668948625311,0.35091305355230723,False,False,14.0,13.0,False,False,False,False,True,True,True,True,True,True
