run_name,subset_name,top_k,num_selected_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
cookie_theft_pooled_phase2,all_phase2,100,100,rf,n200,0.8496420047732697,0.7490943567102508,0.7814908323330988,0.5213675213675214,0.9768211920529801,0.8970588235294118,0.8115271409973397,0.7561350285490218
cookie_theft_pooled_phase2,all_phase2,50,50,rf,n200,0.8448687350835322,0.745783098432105,0.7762800134716643,0.5213675213675214,0.9701986754966887,0.8714285714285714,0.8167628912662025,0.7583061441945714
cookie_theft_pooled_phase2,rich_universal,100,100,rf,n200,0.8448687350835322,0.7353115978943794,0.7691186069972279,0.48717948717948717,0.9834437086092715,0.9193548387096774,0.7984943680307918,0.7461446457721178
cookie_theft_pooled_phase2,rich_universal,50,50,rf,n200,0.8424821002386634,0.7388917190241693,0.7701934583167132,0.5042735042735043,0.9735099337748344,0.8805970149253731,0.7985085187071942,0.7410429428934339
cookie_theft_pooled_phase2,phase1_universal,100,100,rf,n200,0.8400954653937948,0.7424718401539594,0.7711334490995507,0.5213675213675214,0.9635761589403974,0.8472222222222222,0.7901596196298183,0.7381928376552543
cookie_theft_pooled_phase2,phase1_universal,50,50,rf,n200,0.8353221957040573,0.7339248316069509,0.7625126296853052,0.5042735042735043,0.9635761589403974,0.8428571428571429,0.7854898964170488,0.7309453374374724
cookie_theft_pooled_phase2,phase1_universal,50,50,svm,rbf_c1,0.8138424821002387,0.7504386709684723,0.7596204766107679,0.6068376068376068,0.8940397350993378,0.6893203883495146,0.8012679006056489,0.7099796311861036
cookie_theft_pooled_phase2,rich_universal,50,50,svm,linear_c1,0.8138424821002387,0.7216420444897266,0.7420928030303031,0.5128205128205128,0.9304635761589404,0.7407407407407407,0.7982113545027453,0.7128396716299104
cookie_theft_pooled_phase2,phase1_universal,100,100,svm,linear_c1,0.8114558472553699,0.7540187920982623,0.7600072503172013,0.6239316239316239,0.8841059602649006,0.6759259259259259,0.8352295239712457,0.7363756959225934
cookie_theft_pooled_phase2,phase1_universal,100,100,svm,rbf_c1,0.8066825775656324,0.7271466576102338,0.7418321783646861,0.5470085470085471,0.9072847682119205,0.6956521739130435,0.8088243618044942,0.7111666069366346
cookie_theft_pooled_phase2,semantic_plus_pause,50,41,rf,n200,0.8066825775656324,0.685260655459331,0.709915638862535,0.41025641025641024,0.9602649006622517,0.8,0.7793485028584366,0.6428458593429914
cookie_theft_pooled_phase2,semantic_plus_pause,100,41,rf,n200,0.8066825775656324,0.685260655459331,0.709915638862535,0.41025641025641024,0.9602649006622517,0.8,0.7793485028584366,0.6428458593429914
cookie_theft_pooled_phase2,all_phase2,100,100,svm,rbf_c1,0.801909307875895,0.7369247750042451,0.7449562545377209,0.5897435897435898,0.8841059602649006,0.6634615384615384,0.792664289353031,0.6894648051190033
cookie_theft_pooled_phase2,rich_universal,100,100,svm,rbf_c1,0.7995226730310262,0.7326512707307409,0.7411297440423654,0.5811965811965812,0.8841059602649006,0.6601941747572816,0.7883907850795269,0.6653023994271285
cookie_theft_pooled_phase2,phase1_universal,50,50,svm,linear_c1,0.7947494033412887,0.7371936378558894,0.7409117054932413,0.6068376068376068,0.8675496688741722,0.6396396396396397,0.8237674760853568,0.7450683861336114
cookie_theft_pooled_phase2,phase1_universal,50,50,lr,c1,0.7852028639618138,0.7384247467028924,0.7359243697478992,0.6324786324786325,0.8443708609271523,0.6115702479338843,0.8316352521650534,0.7475373113999324
cookie_theft_pooled_phase2,all_phase2,50,50,svm,rbf_c1,0.7828162291169452,0.7184439916227996,0.723552655428675,0.5726495726495726,0.8642384105960265,0.6203703703703703,0.7805513103526348,0.6640575221034958
cookie_theft_pooled_phase2,all_phase2,100,100,svm,linear_c1,0.7804295942720764,0.7089347370804324,0.7164754339511621,0.5470085470085471,0.8708609271523179,0.6213592233009708,0.7953529178694742,0.7107089275561791
cookie_theft_pooled_phase2,rich_universal,100,100,svm,linear_c1,0.7804295942720764,0.7089347370804324,0.7164754339511621,0.5470085470085471,0.8708609271523179,0.6213592233009708,0.7905133865398766,0.7103937275435127
cookie_theft_pooled_phase2,rich_universal,50,50,svm,rbf_c1,0.7804295942720764,0.7167883624837267,0.7212967782983399,0.5726495726495726,0.8609271523178808,0.6146788990825688,0.7866361012056377,0.6717553903390803
cookie_theft_pooled_phase2,all_phase2,100,100,lr,c1,0.7756563245823389,0.7160949793400124,0.7183495423340962,0.5811965811965812,0.8509933774834437,0.6017699115044248,0.7933152204675384,0.711972544134468
cookie_theft_pooled_phase2,rich_universal,100,100,lr,c1,0.7684964200477327,0.7137459670572253,0.7131858438304929,0.5897435897435898,0.8377483443708609,0.5847457627118644,0.7988905869700571,0.7143903969491957
cookie_theft_pooled_phase2,task_specific_semantic,50,20,rf,n200,0.7684964200477327,0.6273560876209883,0.6405214884000672,0.3076923076923077,0.9470198675496688,0.6923076923076923,0.7248259466802514,0.588976555598753
cookie_theft_pooled_phase2,task_specific_semantic,100,20,rf,n200,0.7684964200477327,0.6273560876209883,0.6405214884000672,0.3076923076923077,0.9470198675496688,0.6923076923076923,0.7248259466802514,0.588976555598753
cookie_theft_pooled_phase2,all_phase2,50,50,svm,linear_c1,0.7637231503579952,0.6947274579724911,0.6992495921696574,0.5384615384615384,0.8509933774834437,0.5833333333333334,0.7992585045565178,0.7091102215384879
cookie_theft_pooled_phase2,phase1_universal,100,100,lr,c1,0.7613365155131265,0.7140148299088696,0.7094958123024018,0.6068376068376068,0.8211920529801324,0.568,0.8315220467538349,0.737603801970683
cookie_theft_pooled_phase2,phase1_universal,100,100,dt,depth20,0.7613365155131265,0.7140148299088696,0.7094958123024018,0.6068376068376068,0.8211920529801324,0.568,0.7175383483330503,0.4644229713891005
cookie_theft_pooled_phase2,all_phase2,50,50,lr,c1,0.7589498806682577,0.707123450500934,0.7043957502392411,0.5897435897435898,0.8245033112582781,0.5655737704918032,0.8113997849097188,0.7199535396183766
cookie_theft_pooled_phase2,rich_universal,50,50,lr,c1,0.7541766109785203,0.695958566819494,0.695444762005575,0.5641025641025641,0.8278145695364238,0.559322033898305,0.7961736571008096,0.7088596811817781
cookie_theft_pooled_phase2,all_phase2,100,100,dt,depth20,0.7517899761336515,0.712628063621441,0.7035646258503401,0.6239316239316239,0.8013245033112583,0.5488721804511278,0.712628063621441,0.4474706440539879
cookie_theft_pooled_phase2,all_phase2,50,50,dt,depth20,0.7446300715990454,0.691953925397634,0.6883935583866776,0.5726495726495726,0.8112582781456954,0.5403225806451613,0.6875389143601064,0.4377611475669482
cookie_theft_pooled_phase2,phase1_universal,50,50,dt,depth20,0.7398568019093079,0.6912605422539198,0.6856454554840485,0.5811965811965812,0.8013245033112583,0.53125,0.693185034244637,0.43060675439354834
cookie_theft_pooled_phase2,rich_universal,50,50,dt,depth20,0.7303102625298329,0.6872559008320598,0.6786482689344835,0.5897435897435898,0.7847682119205298,0.5149253731343284,0.688543612384672,0.4347974674434507
cookie_theft_pooled_phase2,rich_universal,100,100,dt,depth20,0.7159904534606205,0.6825578762664855,0.668911067285537,0.6068376068376068,0.7582781456953642,0.4930555555555556,0.6846804777268355,0.41249880918803655
cookie_theft_pooled_phase2,task_specific_semantic,50,20,svm,rbf_c1,0.6945107398568019,0.6755108394181242,0.6542369384702666,0.6324786324786325,0.7185430463576159,0.46540880503144655,0.7380992811456387,0.5053815716619455
cookie_theft_pooled_phase2,task_specific_semantic,100,20,svm,rbf_c1,0.6945107398568019,0.6755108394181242,0.6542369384702666,0.6324786324786325,0.7185430463576159,0.46540880503144655,0.7380992811456387,0.5053815716619455
cookie_theft_pooled_phase2,task_specific_semantic,50,20,dt,depth20,0.6921241050119332,0.6136440821871285,0.6145189242388583,0.4358974358974359,0.7913907284768212,0.4473684210526316,0.614945944416143,0.3556600354034722
cookie_theft_pooled_phase2,task_specific_semantic,100,20,dt,depth20,0.6921241050119332,0.6136440821871285,0.6145189242388583,0.4358974358974359,0.7913907284768212,0.4473684210526316,0.614945944416143,0.3556600354034722
cookie_theft_pooled_phase2,semantic_plus_pause,50,41,dt,depth20,0.6897374701670644,0.6329314541235072,0.6277337342810279,0.5042735042735043,0.7615894039735099,0.45038167938931295,0.6352521650534895,0.37046579859043804
cookie_theft_pooled_phase2,semantic_plus_pause,100,41,dt,depth20,0.6897374701670644,0.6329314541235072,0.6277337342810279,0.5042735042735043,0.7615894039735099,0.45038167938931295,0.6352521650534895,0.37046579859043804
cookie_theft_pooled_phase2,task_specific_semantic,50,20,lr,c1,0.6801909307875895,0.6655770645836872,0.6419077503954284,0.6324786324786325,0.6986754966887417,0.4484848484848485,0.7114960095092544,0.4597174943222938
cookie_theft_pooled_phase2,task_specific_semantic,100,20,lr,c1,0.6801909307875895,0.6655770645836872,0.6419077503954284,0.6324786324786325,0.6986754966887417,0.4484848484848485,0.7114960095092544,0.4597174943222938
cookie_theft_pooled_phase2,semantic_plus_pause,50,41,lr,c1,0.6730310262529833,0.6553744268976057,0.6332475066606184,0.6153846153846154,0.695364238410596,0.43902439024390244,0.7280806022527875,0.4943593187816845
cookie_theft_pooled_phase2,semantic_plus_pause,100,41,lr,c1,0.6730310262529833,0.6553744268976057,0.6332475066606184,0.6153846153846154,0.695364238410596,0.43902439024390244,0.7280806022527875,0.4943593187816845
cookie_theft_pooled_phase2,task_specific_semantic,50,20,svm,linear_c1,0.6730310262529833,0.6501386766287429,0.6306041944181676,0.5982905982905983,0.7019867549668874,0.4375,0.7076753268806248,0.4539493352864897
cookie_theft_pooled_phase2,task_specific_semantic,100,20,svm,linear_c1,0.6730310262529833,0.6501386766287429,0.6306041944181676,0.5982905982905983,0.7019867549668874,0.4375,0.7076753268806248,0.4539493352864897
cookie_theft_pooled_phase2,semantic_plus_pause,50,41,svm,rbf_c1,0.6682577565632458,0.6546810437538915,0.6304622315281876,0.6239316239316239,0.6854304635761589,0.43452380952380953,0.7220241127525896,0.49141967934046515
cookie_theft_pooled_phase2,semantic_plus_pause,100,41,svm,rbf_c1,0.6682577565632458,0.6546810437538915,0.6304622315281876,0.6239316239316239,0.6854304635761589,0.43452380952380953,0.7220241127525896,0.49141967934046515
cookie_theft_pooled_phase2,semantic_plus_pause,50,41,svm,linear_c1,0.6587112171837709,0.6402049017943058,0.6185209944927259,0.5982905982905983,0.6821192052980133,0.42168674698795183,0.716377992868059,0.4820661307497496
cookie_theft_pooled_phase2,semantic_plus_pause,100,41,svm,linear_c1,0.6587112171837709,0.6402049017943058,0.6185209944927259,0.5982905982905983,0.6821192052980133,0.42168674698795183,0.716377992868059,0.4820661307497496
