run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_cookie_theft_phase2,all_phase2,100,100,lr,c1,0.7505492375290772,0.7482928391306087,0.6415094339622641,0.8595890410958904,0.6238532110091743,0.833354872059964,0.7539137998550896
language_en_cookie_theft_phase2,all_phase2,50,50,lr,c1,0.7466722667355905,0.7511272009215073,0.6132075471698113,0.8801369863013698,0.65,0.8298979064357714,0.7452689238136644
language_en_cookie_theft_phase2,phase1_universal,50,50,lr,c1,0.7445399327991729,0.7452748410094382,0.6226415094339622,0.8664383561643836,0.6285714285714286,0.8227578185577669,0.7386991449500009
language_en_cookie_theft_phase2,rich_universal,100,100,lr,c1,0.743247609201344,0.7461734693877551,0.6132075471698113,0.8732876712328768,0.6372549019607843,0.8239855259757044,0.7435843180406507
language_en_cookie_theft_phase2,all_phase2,100,100,svm,rbf_c1,0.7376260015507883,0.7570487017295529,0.5471698113207547,0.928082191780822,0.7341772151898734,0.7967498061514603,0.6829099602792122
language_en_cookie_theft_phase2,all_phase2,100,100,svm,linear_c1,0.7350736624450762,0.7478165564955304,0.5660377358490566,0.9041095890410958,0.6818181818181818,0.8011113982941329,0.7211378276907479
language_en_cookie_theft_phase2,all_phase2,50,50,svm,rbf_c1,0.7328767123287672,0.7633702330058605,0.5,0.9657534246575342,0.8412698412698413,0.7944882398552598,0.7097626458317194
language_en_cookie_theft_phase2,rich_universal,100,100,svm,linear_c1,0.7299366761437064,0.7402947382693661,0.5660377358490566,0.8938356164383562,0.6593406593406593,0.7990759886275524,0.7199981862940152
language_en_cookie_theft_phase2,phase1_universal,50,50,svm,linear_c1,0.7299043680537607,0.7506890503633175,0.5283018867924528,0.9315068493150684,0.7368421052631579,0.7997221504264669,0.7121311877941816
language_en_cookie_theft_phase2,all_phase2,50,50,svm,linear_c1,0.7294843628844663,0.7474352194606029,0.5377358490566038,0.9212328767123288,0.7125,0.8159731196691652,0.7362138352671574
