run_name,n_rows,n_groups,model_family,model_variant,subset_name,top_k,balanced_accuracy,macro_f1,auroc,auprc
language_zh_pd_ctp_phase2,205,127,lr,c1,all_phase2,100,0.9375,0.9598173515981735,0.9756944444444444,0.9416666666666667
language_zh_cookie_theft_phase2,117,111,lr,c1,phase1_universal,50,0.8786764705882353,0.8663101604278074,0.9191176470588235,0.8470619658119658
language_el_pd_ctp_phase2,133,133,rf,n200,rich_universal,100,0.875,0.8831168831168831,0.9611111111111111,0.9706654456654455
benchmark_wide_phase2,3280,2393,svm,rbf_c1,all_phase2,100,0.7749982810190119,0.779821935077214,0.8526145700828549,0.7902484885203799
pd_ctp_pooled_phase2,2342,1971,lr,c1,all_phase2,100,0.7740217768523339,0.7637793214642803,0.8548065243796633,0.7758575998135506
cookie_theft_pooled_phase2,2059,1822,svm,rbf_c1,rich_universal,100,0.7596790626591952,0.7705978100029595,0.7893247297220807,0.7116557968124126
language_en_cookie_theft_phase2,1942,1711,lr,c1,all_phase2,100,0.7505492375290772,0.7482928391306087,0.833354872059964,0.7539137998550896
language_en_pd_ctp_phase2,2004,1711,lr,c1,all_phase2,100,0.7483862959285005,0.7438202932122284,0.8395916087388282,0.7524342313009464
language_es_reading_phase2,269,102,lr,c1,task_specific_semantic,50,0.7286821705426356,0.7087517934002869,0.7922480620155039,0.6600831179402608
