feature_group,importance_mean,importance_std
syn,0.40272034117342825,0.2570435526958191
sx,0.28544197467045607,0.19565774697262076
pd,0.08640475575083954,0.040815443755418894
lex,0.08402041871284542,0.035048983054777494
disc,0.04031403463427208,0.035009985413180546
len,0.036049366761436795,0.03323761150700617
graph,0.030905918842077808,0.029032610128155847
pause,0.007805634530886452,0.01115734618584037
