feature_group,f_score
lex,4.6718605868713965
graph,3.686851660787577
disc,3.508893646217606
pause,2.889745425736539
ac,2.38388718215241
par,2.296440482369706
sx,1.8764408529130334
syn,1.7281306883559564
len,1.0848600833978321
