run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_es_reading_phase2,task_specific_semantic,50,9,lr,c1,0.7286821705426356,0.7087517934002869,0.6666666666666666,0.7906976744186046,0.5263157894736842,0.7922480620155039,0.6600831179402608
language_es_reading_phase2,task_specific_semantic,100,9,lr,c1,0.7286821705426356,0.7087517934002869,0.6666666666666666,0.7906976744186046,0.5263157894736842,0.7922480620155039,0.6600831179402608
language_es_reading_phase2,task_specific_semantic,50,9,svm,rbf_c1,0.7271317829457364,0.6869095816464237,0.7333333333333333,0.7209302325581395,0.4782608695652174,0.7612403100775194,0.5023010817371844
language_es_reading_phase2,task_specific_semantic,100,9,svm,rbf_c1,0.7271317829457364,0.6869095816464237,0.7333333333333333,0.7209302325581395,0.4782608695652174,0.7612403100775194,0.5023010817371844
language_es_reading_phase2,semantic_plus_pause,50,11,svm,rbf_c1,0.7170542635658914,0.693121693121693,0.6666666666666666,0.7674418604651163,0.5,0.7829457364341086,0.4905380156242225
language_es_reading_phase2,semantic_plus_pause,100,11,svm,rbf_c1,0.7170542635658914,0.693121693121693,0.6666666666666666,0.7674418604651163,0.5,0.7829457364341086,0.4905380156242225
language_es_reading_phase2,semantic_plus_pause,50,11,svm,linear_c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7472868217054264,0.5545241162346425
language_es_reading_phase2,semantic_plus_pause,100,11,svm,linear_c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7472868217054264,0.5545241162346425
language_es_reading_phase2,semantic_plus_pause,50,11,lr,c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7271317829457364,0.5494797864108687
language_es_reading_phase2,semantic_plus_pause,100,11,lr,c1,0.7069767441860465,0.6979166666666667,0.6,0.813953488372093,0.5294117647058824,0.7271317829457364,0.5494797864108687
language_es_reading_phase2,task_specific_semantic,50,9,svm,linear_c1,0.6953488372093023,0.6823658269441402,0.6,0.7906976744186046,0.5,0.7891472868217054,0.6559020740256438
language_es_reading_phase2,task_specific_semantic,100,9,svm,linear_c1,0.6953488372093023,0.6823658269441402,0.6,0.7906976744186046,0.5,0.7891472868217054,0.6559020740256438
language_es_reading_phase2,rich_universal,50,50,svm,rbf_c1,0.6821705426356589,0.6477732793522267,0.6666666666666666,0.6976744186046512,0.43478260869565216,0.6666666666666666,0.4583198874631099
language_es_reading_phase2,all_phase2,50,50,svm,rbf_c1,0.6604651162790698,0.6375,0.6,0.7209302325581395,0.42857142857142855,0.6713178294573644,0.4070133928308468
language_es_reading_phase2,rich_universal,100,98,dt,depth20,0.6403100775193798,0.6403100775193798,0.4666666666666667,0.813953488372093,0.4666666666666667,0.6341085271317829,0.3557088122605364
language_es_reading_phase2,all_phase2,50,50,dt,depth20,0.6302325581395349,0.6379525593008739,0.4,0.8604651162790697,0.5,0.6232558139534883,0.3551724137931035
language_es_reading_phase2,task_specific_semantic,50,9,dt,depth20,0.6286821705426356,0.6258064516129033,0.4666666666666667,0.7906976744186046,0.4375,0.6286821705426356,0.3420977011494253
language_es_reading_phase2,task_specific_semantic,100,9,dt,depth20,0.6286821705426356,0.6258064516129033,0.4666666666666667,0.7906976744186046,0.4375,0.6286821705426356,0.3420977011494253
language_es_reading_phase2,rich_universal,50,50,lr,c1,0.6170542635658915,0.6116071428571428,0.4666666666666667,0.7674418604651163,0.4117647058823529,0.5596899224806202,0.41271128599674417
language_es_reading_phase2,all_phase2,100,100,svm,rbf_c1,0.6155038759689923,0.5972222222222222,0.5333333333333333,0.6976744186046512,0.38095238095238093,0.6403100775193797,0.4227915518403628
language_es_reading_phase2,phase1_universal,100,69,dt,depth20,0.6069767441860465,0.6091954022988506,0.4,0.813953488372093,0.42857142857142855,0.6069767441860465,0.3266009852216749
language_es_reading_phase2,phase1_universal,100,69,svm,rbf_c1,0.6054263565891473,0.597663380795911,0.4666666666666667,0.7441860465116279,0.3888888888888889,0.6434108527131783,0.42231134923926206
language_es_reading_phase2,phase1_universal,50,50,svm,rbf_c1,0.6054263565891473,0.597663380795911,0.4666666666666667,0.7441860465116279,0.3888888888888889,0.6372093023255814,0.430583554881339
