run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
cookie_theft_pooled_phase2,rich_universal,100,100,svm,rbf_c1,0.7596790626591952,0.7705978100029595,0.6153846153846154,0.9039735099337748,0.7128712871287128,0.7893247297220807,0.7116557968124126
cookie_theft_pooled_phase2,all_phase2,50,50,rf,n200,0.7550234901228279,0.7884276313066512,0.5299145299145299,0.9801324503311258,0.9117647058823529,0.8126874964623308,0.7608421314266771
cookie_theft_pooled_phase2,all_phase2,100,100,lr,c1,0.754556517801551,0.7512241462409455,0.6581196581196581,0.8509933774834437,0.6311475409836066,0.828635308767759,0.7693754558469412
cookie_theft_pooled_phase2,phase1_universal,100,100,svm,linear_c1,0.7540187920982623,0.7600072503172013,0.6239316239316239,0.8841059602649006,0.6759259259259259,0.8352295239712457,0.7363756959225934
cookie_theft_pooled_phase2,all_phase2,100,100,svm,rbf_c1,0.7514009169638309,0.758642312880528,0.6153846153846154,0.8874172185430463,0.6792452830188679,0.7936548367011943,0.7001707159443349
cookie_theft_pooled_phase2,phase1_universal,50,50,svm,rbf_c1,0.7504386709684723,0.7596204766107679,0.6068376068376068,0.8940397350993378,0.6893203883495146,0.8012679006056489,0.7099796311861036
cookie_theft_pooled_phase2,all_phase2,100,100,svm,linear_c1,0.7467028923982566,0.7473486326393076,0.6324786324786325,0.8609271523178808,0.6379310344827587,0.8136921944868964,0.7550226353587324
cookie_theft_pooled_phase2,rich_universal,50,50,svm,rbf_c1,0.7464340295466123,0.7515906067441727,0.6153846153846154,0.8774834437086093,0.6605504587155964,0.793598233995585,0.7027377206814038
cookie_theft_pooled_phase2,all_phase2,100,100,rf,n200,0.745783098432105,0.7762800134716643,0.5213675213675214,0.9701986754966887,0.8714285714285714,0.8268240221882606,0.7587535671400615
cookie_theft_pooled_phase2,phase1_universal,100,100,rf,n200,0.7424718401539594,0.7711334490995507,0.5213675213675214,0.9635761589403974,0.8472222222222222,0.7901596196298183,0.7381928376552543
cookie_theft_pooled_phase2,all_phase2,50,50,svm,rbf_c1,0.7392737872870323,0.7505061331427891,0.5811965811965812,0.8973509933774835,0.6868686868686869,0.7906690439803022,0.7012002346315134
cookie_theft_pooled_phase2,rich_universal,100,100,svm,linear_c1,0.7388492669949623,0.7432172289234806,0.6068376068376068,0.8708609271523179,0.6454545454545455,0.8066734589913399,0.7436870673384804
