feature_name,f_score,p_value
syn_pronoun_ratio,163.4749232310175,6.06889548219714e-36
syn_pronoun_noun_ratio,99.96368224106878,5.807369658353457e-23
syn_adv_ratio,87.75765859691118,2.0598820694545482e-20
syn_interjection_ratio,86.529628519007,3.7278541174322186e-20
graph_density,77.58513156225534,2.8446529137034293e-18
graph_node_count,52.42251650701669,6.514372633553803e-13
len_type_count,52.42251650701669,6.514372633553803e-13
syn_cconj_ratio,48.282139726026365,5.082262735425962e-12
len_tokens_per_utterance,42.026119707269764,1.1498357775914453e-10
graph_edge_count,38.39421061266582,7.095609239663286e-10
len_syllable_count,35.95288570043135,2.4213819408860772e-09
lex_function_word_ratio,33.29187240662824,9.26634194842941e-09
syn_verb_ratio,32.222703205089786,1.5909468683139663e-08
len_token_count,31.139903757057404,2.752616810694139e-08
lex_brunet,30.27321437922346,4.2715013831112476e-08
syn_obl_ratio,24.152693184257547,9.677652617860357e-07
len_mean_utterance_length,23.540209700813502,1.3249689211230947e-06
syn_mean_utterance_length_words,23.540209700813502,1.3249689211230947e-06
lex_content_word_ratio,22.507456404054846,2.2524181286339194e-06
syn_mean_tree_depth,21.992433610207854,2.9360232715976404e-06
syn_advmod_ratio,18.93625871235922,1.4247347144665462e-05
syn_std_dependency_length,17.244330479322397,3.435057397074375e-05
syn_max_dependency_length,17.11540149480345,3.674004608141105e-05
graph_average_degree,15.96757112066856,6.694316545837442e-05
syn_mean_dependency_length,12.619055222645784,0.000391320973164146
syn_adj_ratio,11.348945406963878,0.0007702756742883843
lex_lemma_type_token_ratio,11.23257098919268,0.000819791582757128
lex_type_token_ratio,9.946202911077515,0.0016374868382097675
disc_repeated_unigram_ratio,9.946202911077483,0.0016374868382097675
lex_repetition_rate,9.946202911077483,0.0016374868382097675
syn_clause_density,9.80101386456818,0.0017711914942975108
syn_part_ratio,9.075115257012383,0.002625969892405959
syn_obj_ratio,7.94515641891852,0.004872520128166575
pause_median_duration,7.833001178133876,0.005182859369521349
pause_speaking_to_total_ratio,7.801801937745258,0.005272722737628368
pause_silence_ratio,7.59432574331982,0.005912186350682225
disc_adjacent_utterance_similarity_mean,6.726230266638319,0.00957484941544062
disc_local_coherence,6.726230266638319,0.00957484941544062
disc_semantic_drift,6.7262302666382805,0.00957484941544062
syn_amod_ratio,6.656950628389615,0.009952843274134452
syn_determiner_noun_ratio,6.338868901208021,0.011895186813756009
syn_propn_ratio,5.560673146353485,0.018471063050708173
syn_max_tree_depth,5.481479759432652,0.01932379565257445
lex_hapax_ratio,5.246440997758311,0.02210284032643565
graph_self_loop_ratio,5.1853627718545425,0.022890710033402574
syn_adp_ratio,5.1401433041218665,0.023492744614896997
len_speech_duration,5.027388448599672,0.025066603969075545
len_syllables_per_second,4.650241229765689,0.031176660745008168
len_tokens_per_second,4.53565541407955,0.03332635318885027
pause_speech_rate_words_per_second,4.53565541407955,0.03332635318885027
ac_egemaps_loudness_sma3_stddevnorm,4.505618275416872,0.03391510918032357
len_std_utterance_length,4.261564113266232,0.03912200601286674
ac_egemaps_mfcc1_sma3_stddevnorm,4.02172904292715,0.04506187536899503
ac_egemaps_voicedsegmentspersec,3.7501774986480725,0.05295279862729936
syn_determiner_ratio,3.687476906981637,0.05497484013621883
syn_aux_ratio,3.6491786287562022,0.05625009553576013
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,3.646064709184478,0.05635515440557056
pause_articulation_rate_words_per_speaking_second,3.5471859742591207,0.059802006093302676
ac_egemaps_slopev0_500_sma3nz_stddevnorm,3.4944808381053836,0.061730315466570956
pause_iqr_duration,3.395394229996705,0.06553736115818747
syn_aux_verb_ratio,2.949072864704389,0.08609285729094587
pause_mean_duration,2.923813143148631,0.08744771848084644
lex_std_token_length,2.916095877924245,0.0878662458333208
ac_mfcc_5_std,2.8361850533676107,0.0923301238551023
pause_to_speech_ratio,2.7910022748566403,0.09496270840414803
ac_egemaps_mfcc1v_sma3nz_stddevnorm,2.7065014227529285,0.10010846804905346
