Language,Task,DT,RF,SVM,LR,DT+RF,DT+SVM,DT+LR,RF+SVM,RF+LR,SVM+LR,DT+RF+SVM,DT+RF+LR,DT+SVM+LR,RF+SVM+LR,DT+RF+SVM+LR
English,binary,76.6 +/- 2.4,82.3 +/- 0.8,85.4 +/- 3.9,86.9 +/- 2.3,77.2 +/- 2.3,78.7 +/- 2.3,79.6 +/- 2.6,85.6 +/- 2.7,85.8 +/- 1.7,87.8 +/- 1.9,84.2 +/- 1.1,84.3 +/- 0.7,86.8 +/- 1.7,87.7 +/- 1.3,85.5 +/- 1.4
Greek,binary,61.9 +/- 5.6,66.5 +/- 4.3,72.1 +/- 10.2,74.0 +/- 1.7,66.5 +/- 7.3,70.2 +/- 11.5,68.8 +/- 6.7,72.6 +/- 7.1,75.3 +/- 3.2,76.7 +/- 3.6,70.7 +/- 6.7,72.1 +/- 3.9,74.0 +/- 5.0,74.4 +/- 4.2,74.4 +/- 5.3
Chinese,binary,65.5 +/- 0.9,66.8 +/- 0.9,54.8 +/- 17.0,68.9 +/- 3.4,65.5 +/- 0.9,66.6 +/- 2.2,68.4 +/- 2.2,68.4 +/- 2.2,68.2 +/- 2.5,69.3 +/- 2.6,66.6 +/- 1.7,66.6 +/- 1.7,68.9 +/- 3.4,68.9 +/- 3.4,68.2 +/- 2.5
Spanish,binary,66.8 +/- 5.7,74.9 +/- 5.0,72.2 +/- 5.7,72.9 +/- 5.8,69.2 +/- 6.1,65.8 +/- 6.8,68.8 +/- 6.3,72.5 +/- 4.3,73.2 +/- 5.1,70.8 +/- 4.1,74.2 +/- 5.1,73.9 +/- 4.5,72.2 +/- 5.8,73.2 +/- 6.1,73.2 +/- 5.0
