run_name,subset,top_k,num_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,language_code,language,ranking_method,ranking_description,tested_features,bonferroni_significant_features,fdr_significant_features
language_en_all_rich,all_universal,50,50,svm,linear_c1,0.7484536082474227,0.6957927307994274,0.6810173804286885,0.5932203389830508,0.7983651226158038,0.4861111111111111,0.7927769824042858,0.6510044714234291,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,20,20,lr,c1,0.7484536082474227,0.7044174017457165,0.6854934728069056,0.6186440677966102,0.7901907356948229,0.4866666666666667,0.7824550870549116,0.6138791788508068,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,all,193,lr,c1,0.7463917525773196,0.7116796748718421,0.6878744277305429,0.6440677966101694,0.779291553133515,0.4840764331210191,0.811203990209209,0.6737253641123058,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,10,10,lr,c1,0.7381443298969073,0.6659816191751721,0.6586948450980501,0.5254237288135594,0.8065395095367848,0.4661654135338345,0.7521128711956774,0.5556441412689326,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,50,50,lr,c1,0.734020618556701,0.7006303976354316,0.6754742231143893,0.635593220338983,0.7656675749318801,0.4658385093167702,0.8034683415692977,0.6723656794117112,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_en_all_rich,all_universal,20,20,dt,depth20,0.7175257731958763,0.6379831893963885,0.6318204234522272,0.4830508474576271,0.7929155313351499,0.4285714285714285,0.6402807924998845,0.3834501943911608,en,English,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,all,69,rf,n200,0.8524590163934426,0.7822997416020672,0.80538816022687,0.6111111111111112,0.9534883720930232,0.8461538461538461,0.83656330749354,0.7872644280614639,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,100,69,rf,n200,0.8524590163934426,0.75,0.7859649122807018,0.5,1.0,1.0,0.828811369509044,0.7945931731550012,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,50,50,rf,n200,0.8360655737704918,0.7222222222222222,0.7556089743589745,0.4444444444444444,1.0,1.0,0.8359173126614987,0.7903134057300725,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,20,20,rf,n200,0.819672131147541,0.7428940568475453,0.7621410847217298,0.5555555555555556,0.9302325581395348,0.7692307692307693,0.8042635658914729,0.7515940977746534,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,10,10,rf,n200,0.819672131147541,0.7751937984496124,0.7796387520525452,0.6666666666666666,0.8837209302325582,0.7058823529411765,0.764857881136951,0.6677572116215909,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
