feature_group,languages_present,num_languages,mean_rank,mean_importance
len,"en,es,zh",3,1.3333333333333333,0.0384601258037838
lex,"en,es,zh",3,2.6666666666666665,0.023886011584487134
disc,"en,es,zh",3,3.0,0.03157907199154257
syn,"en,es,zh",3,4.333333333333333,0.013912509390140132
pause,zh,1,1.0,0.0198592257415786
ac,el,1,1.0,-0.0023392857142857
