language,5,5_model,10,10_model,20,20_model,50,50_model,100,100_model,all,all_model
Chinese,0.6375,rf:n200,0.65,rf:n200,0.675,svm:rbf_c1,0.775,lr:c1,0.8375,lr:c1,0.8125,svm:linear_c1
English,0.7958762886597938,rf:n200,0.8309278350515464,rf:n200,0.8288659793814434,rf:n200,0.8515463917525773,rf:n200,0.8597938144329897,rf:n200,0.8577319587628865,rf:n200
Greek,0.7380952380952381,rf:n200,0.7857142857142857,svm:rbf_c1,0.7380952380952381,rf:n200,0.7619047619047619,lr:c1,0.7142857142857143,rf:n200,0.8333333333333334,rf:n200
Spanish,0.7704918032786885,svm:rbf_c1,0.7540983606557377,svm:rbf_c1,0.7540983606557377,svm:rbf_c1,0.819672131147541,rf:n200,0.8524590163934426,rf:n200,0.8524590163934426,rf:n200
