language,5,5_model,10,10_model,20,20_model,50,50_model,100,100_model,all,all_model
Chinese,0.6,dt:depth20,0.675,svm:rbf_c1,0.6875,svm:rbf_c1,0.7875,rf:n200,0.825,lr:c1,0.8125,svm:linear_c1
English,0.8185567010309278,rf:n200,0.7896907216494845,svm:rbf_c1,0.8391752577319588,rf:n200,0.8494845360824742,rf:n200,0.8618556701030928,rf:n200,0.8577319587628865,rf:n200
Greek,0.7380952380952381,rf:n200,0.7857142857142857,svm:rbf_c1,0.7619047619047619,svm:rbf_c1,0.8095238095238095,rf:n200,0.7857142857142857,rf:n200,0.8333333333333334,rf:n200
Spanish,0.7377049180327869,svm:rbf_c1,0.7704918032786885,svm:rbf_c1,0.7868852459016393,dt:depth20,0.8360655737704918,rf:n200,0.8032786885245902,rf:n200,0.8524590163934426,rf:n200
