feature_name,permutation_importance_mean,permutation_importance_std,rank_metric,is_missingness_indicator
len_speech_duration,0.051210826210826135,0.02576822281042244,0.051210826210826135,False
pause_std_duration,0.04501424501424491,0.011314702816131367,0.04501424501424491,False
pause_articulation_rate_words_per_speaking_second,0.042663817663817584,0.0136575815223452,0.042663817663817584,False
len_syllables_per_second,0.03867521367521358,0.017268371264572684,0.03867521367521358,False
len_tokens_per_second,0.03867521367521358,0.017268371264572684,0.03867521367521358,False
pause_speech_rate_words_per_second,0.03867521367521358,0.017268371264572684,0.03867521367521358,False
lex_mattr_20,0.03717948717948709,0.01847408651681872,0.03717948717948709,False
pause_mean_duration,0.032478632478632405,0.014259963665641785,0.032478632478632405,False
len_type_count,0.032264957264957185,0.015598290598290574,0.032264957264957185,False
lex_honore,0.02984330484330474,0.013849384977007505,0.02984330484330474,False
syn_content_function_ratio,0.028490028490028428,0.014896089793105438,0.028490028490028428,False
disc_immediate_repetition_count,0.028347578347578263,0.008444302185344124,0.028347578347578263,False
pause_median_duration,0.025925925925925852,0.014192209822731545,0.025925925925925852,False
lex_lemma_type_token_ratio,0.023860398860398813,0.015510884430471888,0.023860398860398813,False
syn_open_closed_ratio,0.02371794871794867,0.015598290598290585,0.02371794871794867,False
disc_repeated_bigram_ratio,0.02207977207977201,0.010554776953186693,0.02207977207977201,False
pause_filled_per_100_words,0.02200854700854695,0.004243125643477648,0.02200854700854695,False
syn_aux_ratio,0.021794871794871738,0.012192600527937702,0.021794871794871738,False
syn_noun_verb_ratio,0.020227920227920148,0.015103074399207049,0.020227920227920148,False
syn_nsubj_ratio,0.020085470085470035,0.020713641856744718,0.020085470085470035,False
syn_pronoun_ratio,0.019088319088319004,0.025642608371537975,0.019088319088319004,False
pause_long_ratio,0.018091168091168043,0.017215852615710483,0.018091168091168043,False
disc_mean_pairwise_utt_similarity,0.017948717948717895,0.011624315674343784,0.017948717948717895,False
lex_content_word_ratio,0.017877492877492816,0.00906798939056538,0.017877492877492816,False
syn_std_dependency_length,0.017307692307692246,0.005769230769230749,0.017307692307692246,False
syn_sconj_ratio,0.017307692307692246,0.013461538461538412,0.017307692307692246,False
lex_repetition_rate,0.017236467236467178,0.011202053134665213,0.017236467236467178,False
disc_repeated_unigram_ratio,0.017236467236467178,0.011202053134665213,0.017236467236467178,False
lex_type_token_ratio,0.017236467236467178,0.011202053134665213,0.017236467236467178,False
syn_obl_ratio,0.01623931623931618,0.011421801302222818,0.01623931623931618,False
pause_filled_count,0.016168091168091127,0.01128439822778707,0.016168091168091127,False
pause_total_duration,0.01538461538461533,0.007692307692307664,0.01538461538461533,False
syn_num_ratio,0.01502849002848996,0.010580939216608428,0.01502849002848996,False
syn_part_ratio,0.014387464387464344,0.013039441284095994,0.014387464387464344,False
disc_repeated_trigram_ratio,0.014387464387464344,0.013039441284095994,0.014387464387464344,False
lex_mean_token_length,0.013461538461538424,0.017307692307692274,0.013461538461538424,False
pause_speaking_to_total_ratio,0.013461538461538414,0.008812645567222738,0.013461538461538414,False
pause_silence_ratio,0.013461538461538414,0.008812645567222738,0.013461538461538414,False
syn_mean_dependency_length,0.013461538461538414,0.008812645567222738,0.013461538461538414,False
syn_determiner_noun_ratio,0.013390313390313335,0.01156305633822257,0.013390313390313335,False
pause_iqr_duration,0.0132478632478632,0.013002038722190922,0.0132478632478632,False
syn_propn_ratio,0.012535612535612483,0.013574683909631239,0.012535612535612483,False
syn_cconj_ratio,0.01239316239316235,0.012749884593456171,0.01239316239316235,False
pause_to_speech_ratio,0.011538461538461497,0.009421114395319882,0.011538461538461497,False
syn_determiner_ratio,0.011538461538461497,0.012756249193674568,0.011538461538461497,False
syn_amod_ratio,0.01146723646723643,0.010304030397208811,0.01146723646723643,False
lex_hapax_ratio,0.0105413105413105,0.01250319558831431,0.0105413105413105,False
pause_long_count,0.010398860398860354,0.009016092534727425,0.010398860398860354,False
disc_adjacent_utterance_similarity_mean,0.010327635327635287,0.009926894490574321,0.010327635327635287,False
disc_local_coherence,0.010327635327635287,0.009926894490574321,0.010327635327635287,False
disc_semantic_drift,0.010327635327635287,0.009926894490574321,0.010327635327635287,False
lex_function_word_ratio,0.010327635327635287,0.009926894490574321,0.010327635327635287,False
len_std_utterance_length,0.010256410256410197,0.006675427073424492,0.010256410256410197,False
disc_adjacent_utterance_similarity_std,0.009615384615384581,0.012900392177883357,0.009615384615384581,False
lex_std_token_length,0.009615384615384581,0.012900392177883357,0.009615384615384581,False
syn_obj_ratio,0.009544159544159502,0.01537273995607262,0.009544159544159502,False
syn_adj_ratio,0.00861823361823355,0.016345959876944094,0.00861823361823355,False
pause_pause_to_word_ratio,0.007692307692307665,0.009421114395319882,0.007692307692307665,False
lex_brunet,0.007692307692307665,0.009421114395319882,0.007692307692307665,False
pause_medium_count,0.006695156695156667,0.008642627528272056,0.006695156695156667,False
len_audio_duration,0.005769230769230749,0.008812645567222738,0.005769230769230749,False
len_token_count,0.005769230769230749,0.008812645567222738,0.005769230769230749,False
syn_max_tree_depth,0.005769230769230749,0.008812645567222738,0.005769230769230749,False
len_syllable_count,0.005769230769230749,0.008812645567222738,0.005769230769230749,False
syn_aux_verb_ratio,0.004843304843304819,0.009801149522375801,0.004843304843304819,False
pause_short_count,0.00470085470085464,0.01714794437625685,0.00470085470085464,False
syn_mean_utterance_length_words,0.0038461538461538325,0.007692307692307664,0.0038461538461538325,False
syn_max_dependency_length,0.0038461538461538325,0.007692307692307665,0.0038461538461538325,False
syn_mean_tree_depth,0.0038461538461538325,0.007692307692307665,0.0038461538461538325,False
len_tokens_per_utterance,0.0038461538461538325,0.007692307692307664,0.0038461538461538325,False
len_utterance_count,0.0038461538461538325,0.007692307692307664,0.0038461538461538325,False
len_mean_utterance_length,0.0038461538461538325,0.007692307692307664,0.0038461538461538325,False
syn_utterance_count,0.0038461538461538325,0.007692307692307664,0.0038461538461538325,False
syn_pronoun_noun_ratio,0.003774928774928721,0.014947256181866193,0.003774928774928721,False
syn_noun_ratio,0.0027065527065526563,0.011377299452561516,0.0027065527065526563,False
syn_adv_ratio,0.0019230769230769162,0.005769230769230749,0.0019230769230769162,False
syn_advmod_ratio,0.0019230769230769162,0.005769230769230749,0.0019230769230769162,False
syn_verb_ratio,0.0019230769230768829,0.017953946011981817,0.0019230769230768829,False
syn_clause_density,0.0,0.0,0.0,False
lex_mattr_10,0.0,0.0,0.0,False
syn_subordination_ratio,0.0,0.0,0.0,False
syn_adp_ratio,-0.007122507122507227,0.01029688909886112,-0.007122507122507227,False
