language,rank,feature_name,local_feature_subset,local_feature_model,local_feature_accuracy,local_feature_balanced_accuracy
Chinese,1,len_speech_duration,text_plus_pause,svm:rbf_c1,0.875,0.8376068376068375
Chinese,2,pause_std_duration,text_plus_pause,svm:rbf_c1,0.875,0.8376068376068375
Chinese,3,pause_articulation_rate_words_per_speaking_second,text_plus_pause,svm:rbf_c1,0.875,0.8376068376068375
Chinese,4,len_syllables_per_second,text_plus_pause,svm:rbf_c1,0.875,0.8376068376068375
Chinese,5,len_tokens_per_second,text_plus_pause,svm:rbf_c1,0.875,0.8376068376068375
English,1,lex_brunet,text_plus_pause_plus_graph,rf:n200,0.8639175257731959,0.7203389830508474
English,2,syn_amod_ratio,text_plus_pause_plus_graph,rf:n200,0.8639175257731959,0.7203389830508474
English,3,lex_mattr_10,text_plus_pause_plus_graph,rf:n200,0.8639175257731959,0.7203389830508474
English,4,len_type_count,text_plus_pause_plus_graph,rf:n200,0.8639175257731959,0.7203389830508474
English,5,syn_adv_ratio,text_plus_pause_plus_graph,rf:n200,0.8639175257731959,0.7203389830508474
Greek,1,ac_egemaps_loudness_sma3_stddevnorm,acoustic_only,svm:rbf_c1,0.8571428571428571,0.875
Greek,2,ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,acoustic_only,svm:rbf_c1,0.8571428571428571,0.875
Greek,3,ac_egemaps_hnrdbacf_sma3nz_stddevnorm,acoustic_only,svm:rbf_c1,0.8571428571428571,0.875
Greek,4,ac_egemaps_slopeuv500_1500_sma3nz_amean,acoustic_only,svm:rbf_c1,0.8571428571428571,0.875
Greek,5,ac_egemaps_spectralfluxv_sma3nz_stddevnorm,acoustic_only,svm:rbf_c1,0.8571428571428571,0.875
Spanish,1,len_std_utterance_length,all_universal,rf:n200,0.8524590163934426,0.7822997416020672
Spanish,2,disc_mean_pairwise_utt_similarity,all_universal,rf:n200,0.8524590163934426,0.7822997416020672
Spanish,3,lex_mattr_20,all_universal,rf:n200,0.8524590163934426,0.7822997416020672
Spanish,4,lex_mean_token_length,all_universal,rf:n200,0.8524590163934426,0.7822997416020672
Spanish,5,lex_mattr_10,all_universal,rf:n200,0.8524590163934426,0.7822997416020672
