model,variant,feature_subset,top_k,num_features,balanced_accuracy,precision,recall,specificity,macro_f1,auroc,auprc
dt,depth20,text_plus_pause,50,50,0.7210111920874545,0.5527950310559007,0.6544117647058824,0.7876106194690266,0.7085453823585524,0.7250347041471455,0.4935114100515004
lr,c1,all_universal,all,193,0.7357387645323616,0.5759493670886076,0.6691176470588235,0.8023598820058997,0.7241579558652729,0.8175212562901266,0.6562016472237847
rf,n200,all_universal,all,193,0.7308476487940309,0.8918918918918919,0.4852941176470588,0.976401179941003,0.7615830115830116,0.859751865347909,0.7887994103276537
svm,linear_c1,all_universal,100,100,0.7505314072531668,0.6492537313432836,0.6397058823529411,0.8613569321533924,0.7516339869281046,0.8127711261495748,0.7274706406220033
svm,rbf_c1,text_only,50,50,0.7446750824223495,0.6693548387096774,0.6102941176470589,0.8790560471976401,0.7511148272017837,0.803704667707791,0.6880798929264061
