feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
extended_excluding_task_specific,el,Greek,42,anova,5,5,382,205,6,42,29,SVM,0.7380952380952381,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7221848739495798
extended_excluding_task_specific,el,Greek,42,anova,10,10,382,205,6,42,29,LR,0.7380952380952381,{'clf__C': 10},0.682016806722689
extended_excluding_task_specific,el,Greek,42,anova,20,20,382,205,6,42,29,DT,0.8095238095238095,{'clf__max_depth': 10},0.6761344537815126
extended_excluding_task_specific,el,Greek,42,anova,50,50,382,205,6,42,29,RF,0.7857142857142857,{'clf__n_estimators': 200},0.7337815126050421
extended_excluding_task_specific,el,Greek,42,anova,100,100,382,205,6,42,29,DT,0.8571428571428571,{'clf__max_depth': 10},0.4867226890756303
extended_excluding_task_specific,el,Greek,42,anova,all,205,382,205,6,42,29,DT,0.8095238095238095,{'clf__max_depth': 10},0.606890756302521
extended_excluding_task_specific,el,Greek,42,welch_bonferroni,5,5,382,205,6,42,29,LR,0.7857142857142857,{'clf__C': 0.1},0.7280672268907563
extended_excluding_task_specific,el,Greek,42,welch_bonferroni,10,10,382,205,6,42,29,SVM,0.7380952380952381,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7280672268907563
extended_excluding_task_specific,el,Greek,42,welch_bonferroni,20,20,382,205,6,42,29,SVM,0.8571428571428571,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7280672268907564
extended_excluding_task_specific,el,Greek,42,welch_bonferroni,50,50,382,205,6,42,29,SVM,0.7857142857142857,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7568067226890756
extended_excluding_task_specific,el,Greek,42,welch_bonferroni,100,100,382,205,6,42,29,DT,0.8571428571428571,{'clf__max_depth': 10},0.5211764705882352
extended_excluding_task_specific,el,Greek,42,welch_bonferroni,all,205,382,205,6,42,29,DT,0.8095238095238095,{'clf__max_depth': 10},0.606890756302521
extended_excluding_task_specific,en,English,43,anova,5,5,382,208,40,462,381,RF,0.8225108225108225,{'clf__n_estimators': 100},0.8001953654188949
extended_excluding_task_specific,en,English,43,anova,10,10,382,208,40,462,381,RF,0.8354978354978355,{'clf__n_estimators': 50},0.8097967914438502
