timestamp,smoke,seed,model,pooling,length_mode,training,translated,task,test_language,classifier,actual,predicted,count
2026-05-15 21:55:23,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,gr,DT,HC,HC,13
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,LR,HC,Dementia,7
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,DT,Dementia,HC,17
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,RF,Dementia,Dementia,18
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,DT,HC,Dementia,12
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,DT,Dementia,Dementia,13
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,RF,Dementia,HC,12
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,LR,HC,HC,51
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,RF,HC,Dementia,3
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,LR,Dementia,HC,8
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,DT,HC,HC,46
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,RF,HC,HC,55
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,SVM,Dementia,HC,4
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,SVM,Dementia,Dementia,26
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,SVM,HC,Dementia,7
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,SVM,HC,HC,51
2026-05-15 21:55:51,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,cha,LR,Dementia,Dementia,22
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,LR,Dementia,HC,15
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,SVM,Dementia,HC,15
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,RF,HC,HC,35
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,SVM,HC,HC,39
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,SVM,HC,Dementia,0
