language,list_name,list_rank,feature_name,feature_group,p_value,bonferroni_p,fdr_bh_p,h_statistic,other_rank
Chinese,significance_top10,5,ac_egemaps_logrelf0_h1_a3_sma3nz_amean,ac,1.0909434455740356e-21,2.0946114155021482e-19,4.189222831004296e-20,91.54479656511967,
Chinese,significance_top10,6,ac_egemaps_f2bandwidth_sma3nz_stddevnorm,ac,4.546063364289375e-19,8.7284416594356e-17,1.4093219389763533e-17,79.61652922601616,
Chinese,significance_top10,7,ac_mfcc_3_mean,ac,5.138152902517954e-19,9.865253572834472e-17,1.4093219389763533e-17,79.37463595265683,
Chinese,significance_top10,8,ac_egemaps_slopev500_1500_sma3nz_amean,ac,6.560140985382495e-19,1.259547069193439e-16,1.5744338364917986e-17,78.8919534746359,
Chinese,significance_top10,9,ac_egemaps_mfcc1v_sma3nz_amean,ac,7.929061473834816e-19,1.5223798029762847e-16,1.6915331144180943e-17,78.51755151184716,
Chinese,significance_top10,10,ac_egemaps_hammarbergindexv_sma3nz_amean,ac,1.6402423228440482e-18,3.1492652598605725e-16,3.1492652598605725e-17,77.08177150775794,
Chinese,permutation_top10,1,lex_mattr_20,lex,1.7324717704202075e-11,3.3263457992067984e-09,1.2319799256321474e-10,45.25195876694216,
Chinese,permutation_top10,2,len_speech_duration,len,1.4470180405944066e-05,0.002778274637941261,4.7901286861056225e-05,18.80612335707471,
Chinese,permutation_top10,3,ac_egemaps_slopeuv0_500_sma3nz_amean,ac,3.34218163098333e-08,6.416988731487993e-06,1.5651192028019495e-07,30.497957700084044,
Chinese,permutation_top10,4,ac_mfcc_3_std,ac,0.022850839345593916,1.0,0.036259183093834975,5.179808718962477,
Chinese,permutation_top10,5,syn_determiner_ratio,syn,0.9884368675343247,1.0,0.9884368675343248,0.00021003964942446085,
Chinese,permutation_top10,6,ac_egemaps_mfcc2_sma3_stddevnorm,ac,1.8145638081109814e-05,0.0034839625115730844,5.711413953398499e-05,18.374647311388344,
Chinese,permutation_top10,7,pause_filled_count,pause,0.0006854727127983013,0.13161076085727386,0.00166595899819334,11.528229353815918,
