language_code,language,feature_source,num_features,top_gap_group,top_gap_value,ad_mean_burden,hc_mean_burden,gap_ad_minus_hc,gap_abs,cohens_d,ad_std,hc_std
en,English,permutation,16,len,19.125940821718878,47.48629678836207,35.55855583915129,11.92774094921078,11.92774094921078,1.088668286565849,12.578176650956863,9.048152657266186
en,English,welch_bonferroni_d,16,syn,15.09055419856724,47.54072510034095,33.5421585339461,13.99856656639485,13.99856656639485,0.8420181520174818,19.934535624842923,12.46582157021276
zh,Chinese,permutation,16,disc,23.854073391223057,56.497399189289276,43.1662947259272,13.331104463362074,13.331104463362074,1.6369607735464127,8.416526323579951,7.861647760098563
zh,Chinese,welch_bonferroni_d,16,ac,5.426852657664,53.582544460179285,48.15569180251528,5.426852657664007,5.426852657664007,0.48098335803879677,11.497889153093245,11.063587809041756
el,Greek,permutation,16,ac,14.004861763783765,56.49701642460382,44.54044208223742,11.956574342366402,11.956574342366402,1.399403044356938,6.302022012586285,10.30952063078355
el,Greek,welch_bonferroni_d,9,ac,12.73452064685538,52.38598791070124,39.65146726384585,12.734520646855387,12.734520646855387,0.6425703793548806,20.909047620210774,18.663479976598538
es,Spanish,permutation,16,len,22.978929320777368,52.2794801863909,41.03968239752464,11.239797788866255,11.239797788866255,0.898679399190553,13.93108308499328,10.898432532935194
es,Spanish,welch_bonferroni_d,16,disc,17.357686543964725,45.33470677565015,32.76027467058357,12.574432105066577,12.574432105066577,0.6293244502227325,22.5283194175791,17.057047809582357
