language_code,language,feature_source,num_features,top_gap_group,top_gap_value,ad_mean_burden,hc_mean_burden,gap_ad_minus_hc,gap_abs,cohens_d,ad_std,hc_std
en,English,permutation,16,len,19.125940821718878,47.48629678836207,35.55855583915129,11.92774094921078,11.92774094921078,1.088668286565849,12.578176650956863,9.048152657266186
en,English,bonferroni,16,len,19.125940821718878,47.88716042350357,33.12228964392611,14.764870779577464,14.764870779577464,1.0569867122394025,16.539728467856644,10.802498247111123
zh,Chinese,permutation,16,disc,23.854073391223057,56.497399189289276,43.1662947259272,13.331104463362074,13.331104463362074,1.6369607735464127,8.416526323579951,7.861647760098563
zh,Chinese,bonferroni,16,ac,5.2265795282434695,53.83103495130037,48.60445542305691,5.226579528243455,5.226579528243455,0.49859214696914567,10.213174544069227,10.745418742422563
el,Greek,permutation,16,ac,14.004861763783765,56.49701642460382,44.54044208223742,11.956574342366402,11.956574342366402,1.399403044356938,6.302022012586285,10.30952063078355
el,Greek,bonferroni,9,ac,12.73452064685538,52.38598791070124,39.65146726384585,12.734520646855387,12.734520646855387,0.6425703793548806,20.90904762021077,18.663479976598538
es,Spanish,permutation,16,len,22.978929320777368,52.2794801863909,41.03968239752464,11.239797788866255,11.239797788866255,0.898679399190553,13.93108308499328,10.898432532935194
es,Spanish,bonferroni,16,lex,13.521791773055291,32.77816125764636,22.3469024957199,10.431258761926461,10.431258761926461,0.631436099904782,18.263133120170544,14.569553963828053
