feature_group,native_importance_abs
lex,0.016841754058677653
graph,0.016593577997224034
disc,0.01616260082006464
len,0.01280248873868267
syn,0.007069998740026372
pause,0.0027188236188386426
ac,0.0006800786182115823
missingindicator,0.00048711768420887827
