run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_pd_ctp_rich,text_only,50,50,svm,linear_c1,0.7560513902681232,0.7704291689997036,0.5943396226415094,0.9177631578947368,0.7159090909090909,0.8249596573982126,0.7421312001214991
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,100,100,lr,c1,0.7547480139026812,0.7500685787436374,0.6509433962264151,0.8585526315789473,0.6160714285714286,0.8416087388282026,0.7565402207725918
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,100,100,svm,linear_c1,0.7541894240317775,0.7644421786873175,0.6037735849056604,0.9046052631578947,0.6881720430107527,0.8251303376365442,0.735355072845988
language_en_pd_ctp_rich,text_plus_pause,50,50,svm,linear_c1,0.7445382323733862,0.752851252622188,0.5943396226415094,0.8947368421052632,0.6631578947368421,0.8215615690168818,0.7343764949375767
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,svm,linear_c1,0.7445382323733862,0.752851252622188,0.5943396226415094,0.8947368421052632,0.6631578947368421,0.8215615690168818,0.7343764949375767
language_en_pd_ctp_rich,all_universal,50,50,lr,c1,0.7389523336643495,0.736019131714496,0.6226415094339622,0.8552631578947368,0.6,0.8310265640516385,0.7393046051125609
language_en_pd_ctp_rich,text_plus_pause_plus_graph,50,50,lr,c1,0.7389523336643495,0.736019131714496,0.6226415094339622,0.8552631578947368,0.6,0.8310265640516385,0.7393046051125609
language_en_pd_ctp_rich,text_only,100,62,lr,c1,0.7389523336643495,0.736019131714496,0.6226415094339622,0.8552631578947368,0.6,0.8269302383316782,0.7338767010673221
language_en_pd_ctp_rich,text_only,all,62,lr,c1,0.7389523336643495,0.736019131714496,0.6226415094339622,0.8552631578947368,0.6,0.8269302383316782,0.7338767010673221
language_en_pd_ctp_rich,text_plus_pause,100,83,lr,c1,0.7358800893743793,0.7344313870639401,0.6132075471698113,0.8585526315789473,0.6018518518518519,0.8325471698113207,0.7416724621106006
language_en_pd_ctp_rich,text_plus_pause,all,83,lr,c1,0.7358800893743793,0.7344313870639401,0.6132075471698113,0.8585526315789473,0.6018518518518519,0.8325471698113207,0.7416724621106006
language_en_pd_ctp_rich,all_universal,100,100,lr,c1,0.735662859980139,0.7313237221494102,0.6226415094339622,0.8486842105263158,0.5892857142857143,0.8424776564051638,0.7509804711020587
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,all,188,lr,c1,0.734235352532274,0.7320776475110513,0.6132075471698113,0.8552631578947368,0.5963302752293578,0.8324540714995035,0.7412782186278847
language_en_pd_ctp_rich,text_only,50,50,lr,c1,0.7338008937437934,0.7259090670091863,0.6320754716981132,0.8355263157894737,0.5726495726495726,0.8334160873882821,0.7505112799888872
language_en_pd_ctp_rich,all_universal,100,100,svm,linear_c1,0.7334595332671301,0.7420967741935484,0.5754716981132075,0.8914473684210527,0.648936170212766,0.8263716484607746,0.728392783345998
language_en_pd_ctp_rich,text_only,100,62,svm,linear_c1,0.7318147964250248,0.7396699860953713,0.5754716981132075,0.8881578947368421,0.6421052631578947,0.8112276564051638,0.7066853342906004
language_en_pd_ctp_rich,text_only,all,62,svm,linear_c1,0.7318147964250248,0.7396699860953713,0.5754716981132075,0.8881578947368421,0.6421052631578947,0.8112276564051638,0.7066853342906004
language_en_pd_ctp_rich,all_universal,all,193,lr,c1,0.7311631082423038,0.7304530091034952,0.6037735849056604,0.8585526315789473,0.5981308411214953,0.8327333664349552,0.7381238661200293
language_en_pd_ctp_rich,text_plus_pause_plus_graph,100,88,lr,c1,0.7311631082423038,0.7304530091034952,0.6037735849056604,0.8585526315789473,0.5981308411214953,0.8326402681231381,0.7378062708684723
language_en_pd_ctp_rich,text_plus_pause_plus_graph,all,88,lr,c1,0.7311631082423038,0.7304530091034952,0.6037735849056604,0.8585526315789473,0.5981308411214953,0.8326402681231381,0.7378062708684723
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,all,188,svm,linear_c1,0.7270978152929494,0.7354838709677419,0.5660377358490566,0.8881578947368421,0.6382978723404256,0.8155722442899702,0.719216052558392
language_en_pd_ctp_rich,text_plus_pause,50,50,lr,c1,0.7257944389275075,0.7174616490891659,0.6226415094339622,0.8289473684210527,0.559322033898305,0.8345642999006951,0.7466640848600844
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,lr,c1,0.7257944389275075,0.7174616490891659,0.6226415094339622,0.8289473684210527,0.559322033898305,0.8345642999006951,0.7466640848600844
language_en_pd_ctp_rich,text_plus_pause,100,83,svm,linear_c1,0.7254530784508441,0.733079352831963,0.5660377358490566,0.8848684210526315,0.631578947368421,0.8152308838133068,0.7181708549167997
language_en_pd_ctp_rich,text_plus_pause,all,83,svm,linear_c1,0.7254530784508441,0.733079352831963,0.5660377358490566,0.8848684210526315,0.631578947368421,0.8152308838133068,0.7181708549167997
language_en_pd_ctp_rich,text_plus_pause,50,50,svm,rbf_c1,0.7234669811320755,0.7462937623650198,0.5094339622641509,0.9375,0.7397260273972602,0.8122207050645481,0.7220147748696658
language_en_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,svm,rbf_c1,0.7234669811320755,0.7462937623650198,0.5094339622641509,0.9375,0.7397260273972602,0.8122207050645481,0.7220147748696658
language_en_pd_ctp_rich,all_universal,50,50,svm,rbf_c1,0.7230325223435948,0.7402235344805738,0.5283018867924528,0.9177631578947368,0.691358024691358,0.80371772591857,0.7050824713978373
language_en_pd_ctp_rich,text_plus_pause_plus_graph,50,50,svm,rbf_c1,0.7230325223435948,0.7402235344805738,0.5283018867924528,0.9177631578947368,0.691358024691358,0.80371772591857,0.7050824713978373
