feature_group,permutation_importance_mean,rank,run_name,language
len,0.0298153993474252,1,language_en_pd_ctp_rich,en
lex,0.0285321499503476,2,language_en_pd_ctp_rich,en
syn,0.0216894040106352,3,language_en_pd_ctp_rich,en
disc,0.0059454355227692,4,language_en_pd_ctp_rich,en
len,0.1387152777777778,1,language_zh_pd_ctp_rich,zh
pause,0.0500868055555555,2,language_zh_pd_ctp_rich,zh
ac,0.0607,1,language_el_pd_ctp_rich,el
