run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_el_pd_ctp_rich,acoustic_only,50,50,svm,linear_c1,0.925,0.925,0.9333333333333332,0.9166666666666666,0.9333333333333332,0.9444444444444444,0.9733333333333334,0.9259259259259259
language_el_pd_ctp_rich,acoustic_only,all,105,rf,n200,0.8833333333333333,0.8863955119214586,0.9333333333333332,0.8333333333333334,0.875,0.961111111111111,0.975,0.8888888888888888
language_el_pd_ctp_rich,acoustic_only,all,105,lr,c1,0.8916666666666666,0.8882758620689655,0.8666666666666667,0.9166666666666666,0.9285714285714286,0.9222222222222224,0.962037037037037,0.8888888888888888
language_el_pd_ctp_rich,acoustic_only,20,20,svm,rbf_c1,0.8916666666666666,0.8882758620689655,0.8666666666666667,0.9166666666666666,0.9285714285714286,0.9111111111111112,0.9510275689223058,0.8888888888888888
language_el_pd_ctp_rich,acoustic_only,50,50,svm,rbf_c1,0.8916666666666666,0.8882758620689655,0.8666666666666667,0.9166666666666666,0.9285714285714286,0.9055555555555556,0.9494891073838442,0.8888888888888888
language_el_pd_ctp_rich,acoustic_only,all,105,dt,depth20,0.8833333333333333,0.8863955119214586,0.9333333333333332,0.8333333333333334,0.875,0.8833333333333333,0.8537037037037036,0.8888888888888888
language_el_pd_ctp_rich,all_universal,10,10,rf,n200,0.8333333333333333,0.8411764705882353,1.0,0.6666666666666666,0.7894736842105263,0.9972222222222222,0.9958333333333332,0.8518518518518519
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,10,10,rf,n200,0.8333333333333333,0.8411764705882353,1.0,0.6666666666666666,0.7894736842105263,0.9972222222222222,0.9958333333333332,0.8518518518518519
language_el_pd_ctp_rich,acoustic_only,100,100,rf,n200,0.8416666666666667,0.8465909090909092,0.9333333333333332,0.75,0.8235294117647058,0.9527777777777776,0.972367149758454,0.8518518518518519
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,20,20,rf,n200,0.8333333333333333,0.8411764705882353,1.0,0.6666666666666666,0.7894736842105263,0.938888888888889,0.9536633249791144,0.8518518518518519
language_el_pd_ctp_rich,acoustic_only,all,105,svm,linear_c1,0.8500000000000001,0.8500000000000001,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.9277777777777778,0.9601851851851853,0.8518518518518519
language_el_pd_ctp_rich,acoustic_only,50,50,lr,c1,0.8500000000000001,0.8500000000000001,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.9222222222222224,0.962037037037037,0.8518518518518519
language_el_pd_ctp_rich,acoustic_only,100,100,svm,rbf_c1,0.8583333333333334,0.8516483516483516,0.8,0.9166666666666666,0.9230769230769232,0.9111111111111112,0.9501400560224088,0.8518518518518519
language_el_pd_ctp_rich,acoustic_only,all,105,svm,rbf_c1,0.8583333333333334,0.8516483516483516,0.8,0.9166666666666666,0.9230769230769232,0.9111111111111112,0.9501400560224088,0.8518518518518519
language_el_pd_ctp_rich,all_universal,all,192,rf,n200,0.8416666666666667,0.8465909090909092,0.9333333333333332,0.75,0.8235294117647058,0.9055555555555556,0.9224138824138824,0.8518518518518519
language_el_pd_ctp_rich,all_universal,50,50,dt,depth20,0.8416666666666667,0.8465909090909092,0.9333333333333332,0.75,0.8235294117647058,0.8416666666666667,0.8056644880174291,0.8518518518518519
language_el_pd_ctp_rich,acoustic_only,20,20,dt,depth20,0.8416666666666667,0.8465909090909092,0.9333333333333332,0.75,0.8235294117647058,0.8416666666666667,0.8056644880174291,0.8518518518518519
language_el_pd_ctp_rich,all_universal,5,5,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.9555555555555556,0.9717460317460318,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,5,5,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.9555555555555556,0.9717460317460318,0.8148148148148148
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,5,5,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.9555555555555556,0.9717460317460318,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,20,20,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.9555555555555556,0.9743434343434344,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,10,10,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.95,0.972367149758454,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,100,100,lr,c1,0.8083333333333333,0.8106591865357644,0.8666666666666667,0.75,0.8125,0.9166666666666666,0.9586056644880174,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,20,20,svm,linear_c1,0.8083333333333333,0.8106591865357644,0.8666666666666667,0.75,0.8125,0.9111111111111112,0.9522181522181522,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,100,100,svm,linear_c1,0.8083333333333333,0.8106591865357644,0.8666666666666667,0.75,0.8125,0.9111111111111112,0.9436626445449974,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,10,10,svm,linear_c1,0.8083333333333333,0.8106591865357644,0.8666666666666667,0.75,0.8125,0.9055555555555556,0.9427945001858044,0.8148148148148148
language_el_pd_ctp_rich,all_universal,20,20,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.9000000000000001,0.9157114729096154,0.8148148148148148
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,100,100,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.8944444444444445,0.918219384101737,0.8148148148148148
language_el_pd_ctp_rich,all_universal,5,5,svm,linear_c1,0.8166666666666667,0.8137931034482759,0.8,0.8333333333333334,0.8571428571428571,0.8833333333333334,0.9313095238095236,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,5,5,svm,linear_c1,0.8166666666666667,0.8137931034482759,0.8,0.8333333333333334,0.8571428571428571,0.8833333333333334,0.9313095238095236,0.8148148148148148
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,5,5,svm,linear_c1,0.8166666666666667,0.8137931034482759,0.8,0.8333333333333334,0.8571428571428571,0.8833333333333334,0.9313095238095236,0.8148148148148148
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,rf,n200,0.8083333333333333,0.8106591865357644,0.8666666666666667,0.75,0.8125,0.8805555555555555,0.9038152588152588,0.8148148148148148
language_el_pd_ctp_rich,all_universal,50,50,rf,n200,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.8805555555555555,0.9068154993154992,0.8148148148148148
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,dt,depth20,0.8083333333333333,0.8106591865357644,0.8666666666666667,0.75,0.8125,0.8083333333333333,0.7782407407407408,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,10,10,dt,depth20,0.8,0.8051948051948052,0.9333333333333332,0.6666666666666666,0.7777777777777778,0.8,0.762962962962963,0.8148148148148148
language_el_pd_ctp_rich,acoustic_only,10,10,svm,rbf_c1,0.7833333333333333,0.7774725274725275,0.7333333333333333,0.8333333333333334,0.8461538461538461,0.9055555555555556,0.9412114845938376,0.7777777777777778
language_el_pd_ctp_rich,all_universal,5,5,svm,rbf_c1,0.775,0.775,0.8,0.75,0.8,0.9055555555555556,0.9392135549872122,0.7777777777777778
language_el_pd_ctp_rich,acoustic_only,5,5,svm,rbf_c1,0.775,0.775,0.8,0.75,0.8,0.9055555555555556,0.9392135549872122,0.7777777777777778
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,5,5,svm,rbf_c1,0.775,0.775,0.8,0.75,0.8,0.9055555555555556,0.9392135549872122,0.7777777777777778
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,all,187,rf,n200,0.7666666666666666,0.7698863636363636,0.8666666666666667,0.6666666666666666,0.7647058823529411,0.902777777777778,0.9306149406149408,0.7777777777777778
language_el_pd_ctp_rich,acoustic_only,10,10,lr,c1,0.7666666666666666,0.7698863636363636,0.8666666666666667,0.6666666666666666,0.7647058823529411,0.8944444444444445,0.9393162393162392,0.7777777777777778
language_el_pd_ctp_rich,all_universal,10,10,svm,linear_c1,0.7583333333333333,0.7617647058823529,0.9333333333333332,0.5833333333333334,0.7368421052631579,0.8388888888888888,0.8607398936346304,0.7777777777777778
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,10,10,svm,linear_c1,0.7583333333333333,0.7617647058823529,0.9333333333333332,0.5833333333333334,0.7368421052631579,0.8388888888888888,0.8607398936346304,0.7777777777777778
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,20,20,svm,rbf_c1,0.7666666666666666,0.7698863636363636,0.8666666666666667,0.6666666666666666,0.7647058823529411,0.8055555555555556,0.8155787567552273,0.7777777777777778
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,svm,rbf_c1,0.775,0.775,0.8,0.75,0.8,0.7944444444444445,0.8069930264667107,0.7777777777777778
language_el_pd_ctp_rich,all_universal,10,10,dt,depth20,0.7666666666666666,0.7698863636363636,0.8666666666666667,0.6666666666666666,0.7647058823529411,0.7666666666666668,0.7368191721132897,0.7777777777777778
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,10,10,dt,depth20,0.7666666666666666,0.7698863636363636,0.8666666666666667,0.6666666666666666,0.7647058823529411,0.7666666666666668,0.7368191721132897,0.7777777777777778
language_el_pd_ctp_rich,acoustic_only,50,50,rf,n200,0.7166666666666667,0.7157894736842105,0.9333333333333332,0.5,0.7,0.9583333333333334,0.9743434343434344,0.7407407407407407
language_el_pd_ctp_rich,acoustic_only,20,20,lr,c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.9,0.94536212325686,0.7407407407407407
language_el_pd_ctp_rich,all_universal,100,100,rf,n200,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.8722222222222222,0.9033462833462832,0.7407407407407407
language_el_pd_ctp_rich,all_universal,5,5,lr,c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.8611111111111112,0.9158482258482258,0.7407407407407407
language_el_pd_ctp_rich,acoustic_only,5,5,lr,c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.8611111111111112,0.9158482258482258,0.7407407407407407
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,5,5,lr,c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.8611111111111112,0.9158482258482258,0.7407407407407407
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,all,187,svm,rbf_c1,0.7416666666666667,0.7393103448275862,0.7333333333333333,0.75,0.7857142857142857,0.8499999999999999,0.8730046223699474,0.7407407407407407
language_el_pd_ctp_rich,all_universal,all,192,svm,rbf_c1,0.7416666666666667,0.7393103448275862,0.7333333333333333,0.75,0.7857142857142857,0.8388888888888888,0.8632532626185877,0.7407407407407407
language_el_pd_ctp_rich,all_universal,10,10,lr,c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.8333333333333334,0.8785307285307284,0.7407407407407407
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,10,10,lr,c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.8333333333333334,0.8785307285307284,0.7407407407407407
language_el_pd_ctp_rich,all_universal,20,20,svm,rbf_c1,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.7944444444444445,0.7623408417061668,0.7407407407407407
language_el_pd_ctp_rich,all_universal,50,50,svm,rbf_c1,0.7333333333333334,0.7349228611500701,0.8,0.6666666666666666,0.75,0.788888888888889,0.7459843550555625,0.7407407407407407
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,100,100,svm,rbf_c1,0.7416666666666667,0.7393103448275862,0.7333333333333333,0.75,0.7857142857142857,0.7833333333333332,0.8328805989332304,0.7407407407407407
language_el_pd_ctp_rich,all_universal,50,50,lr,c1,0.7333333333333334,0.7349228611500701,0.8,0.6666666666666666,0.75,0.7666666666666667,0.7436308898073604,0.7407407407407407
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,50,50,lr,c1,0.7333333333333334,0.7349228611500701,0.8,0.6666666666666666,0.75,0.7555555555555555,0.7336308898073605,0.7407407407407407
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,20,20,dt,depth20,0.7333333333333334,0.7349228611500701,0.8,0.6666666666666666,0.75,0.7333333333333334,0.7111111111111111,0.7407407407407407
language_el_pd_ctp_rich,acoustic_only,100,100,dt,depth20,0.7250000000000001,0.7272727272727273,0.8666666666666667,0.5833333333333334,0.7222222222222222,0.725,0.7,0.7407407407407407
language_el_pd_ctp_rich,all_universal,20,20,svm,linear_c1,0.6916666666666667,0.6931818181818181,0.8,0.5833333333333334,0.7058823529411765,0.8055555555555556,0.8631292345998227,0.7037037037037037
language_el_pd_ctp_rich,all_universal,20,20,lr,c1,0.6916666666666667,0.6931818181818181,0.8,0.5833333333333334,0.7058823529411765,0.788888888888889,0.8470414189067439,0.7037037037037037
language_el_pd_ctp_rich,text_plus_pause_plus_acoustic,20,20,lr,c1,0.6916666666666667,0.6931818181818181,0.8,0.5833333333333334,0.7058823529411765,0.7833333333333333,0.8253477221043515,0.7037037037037037
