feature_name,native_importance,native_importance_abs,native_importance_type,is_missingness_indicator
ac_egemaps_spectralfluxv_sma3nz_amean,2.4289456215547704e-05,2.4289456215547704e-05,impurity_importance,False
ac_egemaps_mfcc1_sma3_amean,2.3520755955793015e-05,2.3520755955793015e-05,impurity_importance,False
ac_egemaps_alpharatiouv_sma3nz_amean,2.0827012589677787e-05,2.0827012589677787e-05,impurity_importance,False
ac_egemaps_loudness_sma3_percentile50_0,2.030162881258709e-05,2.030162881258709e-05,impurity_importance,False
ac_egemaps_slopev0_500_sma3nz_stddevnorm,1.9837289571686206e-05,1.9837289571686206e-05,impurity_importance,False
ac_egemaps_f2amplitudelogrelf0_sma3nz_amean,1.908728557899453e-05,1.908728557899453e-05,impurity_importance,False
pause_std_duration,1.8170028619334666e-05,1.8170028619334666e-05,impurity_importance,False
ac_egemaps_alpharatiov_sma3nz_amean,1.7216757608181088e-05,1.7216757608181088e-05,impurity_importance,False
ac_egemaps_jitterlocal_sma3nz_stddevnorm,1.6968950869248093e-05,1.6968950869248093e-05,impurity_importance,False
ac_egemaps_loudness_sma3_percentile20_0,1.681246516054885e-05,1.681246516054885e-05,impurity_importance,False
pause_silence_ratio,1.6765303655031644e-05,1.6765303655031644e-05,impurity_importance,False
ac_zcr_mean,1.6392414424430863e-05,1.6392414424430863e-05,impurity_importance,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,1.6375842663546032e-05,1.6375842663546032e-05,impurity_importance,False
ac_egemaps_f2frequency_sma3nz_stddevnorm,1.6183695061222147e-05,1.6183695061222147e-05,impurity_importance,False
ac_egemaps_f1bandwidth_sma3nz_amean,1.5942679720376163e-05,1.5942679720376163e-05,impurity_importance,False
ac_egemaps_f3bandwidth_sma3nz_amean,1.5692902383223166e-05,1.5692902383223166e-05,impurity_importance,False
ac_mfcc_4_std,1.5343562100685854e-05,1.5343562100685854e-05,impurity_importance,False
len_audio_duration,1.342675356204014e-05,1.342675356204014e-05,impurity_importance,False
ac_egemaps_loudness_sma3_stddevrisingslope,1.2489736460487443e-05,1.2489736460487443e-05,impurity_importance,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,1.2184804339515996e-05,1.2184804339515996e-05,impurity_importance,False
pause_to_speech_ratio,1.1885696491506513e-05,1.1885696491506513e-05,impurity_importance,False
ac_rms_mean,1.074458540208252e-05,1.074458540208252e-05,impurity_importance,False
ac_egemaps_slopev0_500_sma3nz_amean,9.754488890709496e-06,9.754488890709496e-06,impurity_importance,False
ac_egemaps_f2bandwidth_sma3nz_amean,8.766557417131232e-06,8.766557417131232e-06,impurity_importance,False
