feature_name,permutation_importance_mean,permutation_importance_std,rank_metric,is_missingness_indicator,rank,run_name,language
pause_articulation_rate_words_per_speaking_second,0.0426638176638175,0.0136575815223452,0.0426638176638175,False,3,language_zh_all_rich,zh
len_syllables_per_second,0.0386752136752135,0.0172683712645726,0.0386752136752135,False,4,language_zh_all_rich,zh
len_tokens_per_second,0.0386752136752135,0.0172683712645726,0.0386752136752135,False,5,language_zh_all_rich,zh
pause_speech_rate_words_per_second,0.0386752136752135,0.0172683712645726,0.0386752136752135,False,6,language_zh_all_rich,zh
lex_mattr_20,0.037179487179487,0.0184740865168187,0.037179487179487,False,7,language_zh_all_rich,zh
pause_mean_duration,0.0324786324786324,0.0142599636656417,0.0324786324786324,False,8,language_zh_all_rich,zh
len_type_count,0.0322649572649571,0.0155982905982905,0.0322649572649571,False,9,language_zh_all_rich,zh
lex_honore,0.0298433048433047,0.0138493849770075,0.0298433048433047,False,10,language_zh_all_rich,zh
syn_content_function_ratio,0.0284900284900284,0.0148960897931054,0.0284900284900284,False,11,language_zh_all_rich,zh
disc_immediate_repetition_count,0.0283475783475782,0.0084443021853441,0.0283475783475782,False,12,language_zh_all_rich,zh
pause_median_duration,0.0259259259259258,0.0141922098227315,0.0259259259259258,False,13,language_zh_all_rich,zh
lex_lemma_type_token_ratio,0.0238603988603988,0.0155108844304718,0.0238603988603988,False,14,language_zh_all_rich,zh
syn_open_closed_ratio,0.0237179487179486,0.0155982905982905,0.0237179487179486,False,15,language_zh_all_rich,zh
disc_repeated_bigram_ratio,0.022079772079772,0.0105547769531866,0.022079772079772,False,16,language_zh_all_rich,zh
pause_filled_per_100_words,0.0220085470085469,0.0042431256434776,0.0220085470085469,False,17,language_zh_all_rich,zh
syn_aux_ratio,0.0217948717948717,0.0121926005279377,0.0217948717948717,False,18,language_zh_all_rich,zh
syn_noun_verb_ratio,0.0202279202279201,0.015103074399207,0.0202279202279201,False,19,language_zh_all_rich,zh
syn_nsubj_ratio,0.02008547008547,0.0207136418567447,0.02008547008547,False,20,language_zh_all_rich,zh
syn_pronoun_ratio,0.019088319088319,0.0256426083715379,0.019088319088319,False,21,language_zh_all_rich,zh
pause_long_ratio,0.018091168091168,0.0172158526157104,0.018091168091168,False,22,language_zh_all_rich,zh
disc_mean_pairwise_utt_similarity,0.0179487179487178,0.0116243156743437,0.0179487179487178,False,23,language_zh_all_rich,zh
lex_content_word_ratio,0.0178774928774928,0.0090679893905653,0.0178774928774928,False,24,language_zh_all_rich,zh
syn_std_dependency_length,0.0173076923076922,0.0057692307692307,0.0173076923076922,False,25,language_zh_all_rich,zh
syn_sconj_ratio,0.0173076923076922,0.0134615384615384,0.0173076923076922,False,26,language_zh_all_rich,zh
lex_repetition_rate,0.0172364672364671,0.0112020531346652,0.0172364672364671,False,27,language_zh_all_rich,zh
disc_repeated_unigram_ratio,0.0172364672364671,0.0112020531346652,0.0172364672364671,False,28,language_zh_all_rich,zh
lex_type_token_ratio,0.0172364672364671,0.0112020531346652,0.0172364672364671,False,29,language_zh_all_rich,zh
syn_obl_ratio,0.0162393162393161,0.0114218013022228,0.0162393162393161,False,30,language_zh_all_rich,zh
ac_egemaps_loudness_sma3_stddevnorm,0.0071428571428571,0.0163663417676994,0.0071428571428571,False,1,language_el_all_rich,el
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,0.0035714285714285,0.0071428571428571,0.0035714285714285,False,2,language_el_all_rich,el
ac_egemaps_hnrdbacf_sma3nz_stddevnorm,0.0017857142857142,0.0053571428571428,0.0017857142857142,False,3,language_el_all_rich,el
ac_egemaps_slopeuv500_1500_sma3nz_amean,0.0017857142857142,0.0053571428571428,0.0017857142857142,False,4,language_el_all_rich,el
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,1.1102230246251566e-17,0.0159719141249985,1.1102230246251566e-17,False,5,language_el_all_rich,el
ac_rms_mean,0.0,0.0,0.0,False,6,language_el_all_rich,el
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,0.0,0.0,0.0,False,7,language_el_all_rich,el
ac_egemaps_loudness_sma3_pctlrange0_2,0.0,0.0,0.0,False,8,language_el_all_rich,el
ac_egemaps_stddevvoicedsegmentlengthsec,0.0,0.0,0.0,False,9,language_el_all_rich,el
ac_egemaps_loudness_sma3_meanfallingslope,0.0,0.0,0.0,False,10,language_el_all_rich,el
ac_egemaps_spectralfluxuv_sma3nz_amean,0.0,0.0,0.0,False,11,language_el_all_rich,el
ac_egemaps_mfcc1_sma3_amean,0.0,0.0,0.0,False,12,language_el_all_rich,el
ac_rms_std,0.0,0.0,0.0,False,13,language_el_all_rich,el
ac_egemaps_slopev0_500_sma3nz_amean,0.0,0.0,0.0,False,14,language_el_all_rich,el
ac_egemaps_slopeuv0_500_sma3nz_amean,0.0,0.0,0.0,False,15,language_el_all_rich,el
ac_mfcc_1_std,0.0,0.0,0.0,False,16,language_el_all_rich,el
ac_egemaps_voicedsegmentspersec,0.0,0.0,0.0,False,17,language_el_all_rich,el
ac_egemaps_loudness_sma3_amean,0.0,0.0,0.0,False,18,language_el_all_rich,el
ac_mfcc_1_mean,0.0,0.0,0.0,False,19,language_el_all_rich,el
ac_egemaps_meanvoicedsegmentlengthsec,0.0,0.0,0.0,False,20,language_el_all_rich,el
ac_mfcc_5_std,0.0,0.0,0.0,False,21,language_el_all_rich,el
ac_f0_mean,0.0,0.0,0.0,False,22,language_el_all_rich,el
ac_egemaps_stddevunvoicedsegmentlength,0.0,0.0,0.0,False,23,language_el_all_rich,el
ac_egemaps_spectralfluxv_sma3nz_amean,0.0,0.0,0.0,False,24,language_el_all_rich,el
ac_egemaps_spectralflux_sma3_stddevnorm,0.0,0.0,0.0,False,25,language_el_all_rich,el
ac_egemaps_f3amplitudelogrelf0_sma3nz_stddevnorm,0.0,0.0,0.0,False,26,language_el_all_rich,el
ac_zcr_mean,0.0,0.0,0.0,False,27,language_el_all_rich,el
ac_egemaps_mfcc2v_sma3nz_amean,0.0,0.0,0.0,False,28,language_el_all_rich,el
ac_egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,0.0,0.0,0.0,False,29,language_el_all_rich,el
ac_egemaps_alpharatiouv_sma3nz_amean,0.0,0.0,0.0,False,30,language_el_all_rich,el
