feature_name,f_score,p_value,rank_metric
lex_content_word_ratio,36.23911441527981,4.334094828916384e-09,36.23911441527981
syn_noun_ratio,32.009650827286976,3.150717604359455e-08,32.009650827286976
lex_mattr_20,26.191655719782386,5.061475373251303e-07,26.191655719782386
syn_pronoun_ratio,24.935877955043992,9.289598066245322e-07,24.935877955043992
syn_pronoun_noun_ratio,24.057767631502777,1.4229336042944529e-06,24.057767631502777
pause_long_ratio,22.174285397595156,3.5699345812511595e-06,22.174285397595156
lex_lemma_type_token_ratio,20.38589931773962,8.609611934281932e-06,20.38589931773962
lex_repetition_rate,19.350754580915822,1.4378343278626967e-05,19.350754580915822
disc_repeated_unigram_ratio,19.350754580915822,1.4378343278626967e-05,19.350754580915822
lex_type_token_ratio,19.350754580915787,1.4378343278626967e-05,19.350754580915787
syn_open_closed_ratio,18.149127734740727,2.6160983854504875e-05,18.149127734740727
syn_content_function_ratio,17.855657685358885,3.029549615354633e-05,17.855657685358885
disc_mean_pairwise_utt_similarity,17.754826740421333,3.186358824852644e-05,17.754826740421333
pause_std_duration,16.03141182652994,7.580996672355222e-05,16.03141182652994
disc_semantic_drift,15.793397140232988,8.55061623312665e-05,15.793397140232988
disc_adjacent_utterance_similarity_mean,15.793397140232987,8.55061623312665e-05,15.793397140232987
disc_local_coherence,15.793397140232987,8.55061623312665e-05,15.793397140232987
lex_hapax_ratio,15.13416177033503,0.00011944123576357652,15.13416177033503
lex_function_word_ratio,15.057795490432929,0.00012416703317166082,15.057795490432929
lex_mattr_10,13.57672933692641,0.0002645101401109785,13.57672933692641
disc_repeated_bigram_ratio,13.449015431464177,0.0002824315078369178,13.449015431464177
pause_mean_duration,13.06497022702883,0.0003440948387637305,13.06497022702883
len_speech_duration,11.666986458301892,0.000709431282413649,11.666986458301892
syn_determiner_noun_ratio,11.513249634151958,0.0007685537103743794,11.513249634151958
syn_aux_ratio,11.028356383350594,0.000989944440970624,11.028356383350594
pause_to_speech_ratio,10.991226931255186,0.0010093633503797273,10.991226931255186
pause_filled_count,10.4178198563108,0.0013636103019043872,10.4178198563108
pause_filled_per_100_words,10.408375168967485,0.0013704013254628058,10.408375168967485
disc_repeated_trigram_ratio,10.385926266137371,0.0013866812326224136,10.385926266137371
pause_long_count,10.12430476098322,0.00159157911764388,10.12430476098322
syn_noun_verb_ratio,9.375235092182653,0.0023661401705538996,9.375235092182653
pause_short_count,8.916812217765864,0.003020616462555415,8.916812217765864
pause_iqr_duration,8.598528660146947,0.0035813700439926337,8.598528660146947
pause_median_duration,8.408245912328061,0.003966370194328434,8.408245912328061
lex_brunet,7.409510884884436,0.0068061767386436685,7.409510884884436
pause_total_duration,6.625492547532427,0.01045552609799295,6.625492547532427
syn_nsubj_ratio,6.5817421993750465,0.010710720920451337,6.5817421993750465
disc_adjacent_utterance_similarity_std,6.441924405133486,0.011570181024736437,6.441924405133486
lex_honore,5.592472457569639,0.018572094469899696,5.592472457569639
pause_speaking_to_total_ratio,5.336920445503473,0.021448012322292074,5.336920445503473
syn_utterance_count,5.2583236507082916,0.022422778095054642,5.2583236507082916
len_utterance_count,5.2583236507082916,0.022422778095054642,5.2583236507082916
pause_silence_ratio,5.094753917739174,0.024602205051210215,5.094753917739174
pause_articulation_rate_words_per_speaking_second,4.801110447263098,0.029087186695994017,4.801110447263098
syn_aux_verb_ratio,4.799107125736037,0.029120563573258356,4.799107125736037
len_tokens_per_utterance,4.0909408063045625,0.04385875286138956,4.0909408063045625
syn_adp_ratio,3.748507875374856,0.05364375242843901,3.748507875374856
len_type_count,3.645031724159089,0.05703818369802303,3.645031724159089
disc_immediate_repetition_count,3.2636270430950205,0.0716742198161986,3.2636270430950205
syn_propn_ratio,2.7630082720207403,0.0973444193543457,2.7630082720207403
len_mean_utterance_length,2.690660742518401,0.10181870499211697,2.690660742518401
syn_mean_utterance_length_words,2.690660742518401,0.10181870499211697,2.690660742518401
syn_verb_ratio,2.6576618332594593,0.10393404005835008,2.6576618332594593
syn_part_ratio,2.322484539206468,0.12840153434796847,2.322484539206468
len_std_utterance_length,2.1238900302451214,0.14589684412828757,2.1238900302451214
syn_adj_ratio,1.9985712306308678,0.15831895248149147,1.9985712306308678
syn_sconj_ratio,1.9480051723534362,0.16366940843909475,1.9480051723534362
syn_mean_dependency_length,1.942859107943204,0.16422543429990924,1.942859107943204
syn_subordination_ratio,1.8279682383956086,0.17722361701973016,1.8279682383956086
syn_num_ratio,1.4256878742799959,0.2332622410304715,1.4256878742799959
pause_pause_to_word_ratio,1.3158983686123864,0.25209769219363015,1.3158983686123864
pause_speech_rate_words_per_second,0.9873706809426603,0.3210588654459742,0.9873706809426603
len_tokens_per_second,0.9873706809426603,0.3210588654459742,0.9873706809426603
len_syllables_per_second,0.9873706809426603,0.3210588654459742,0.9873706809426603
syn_clause_density,0.9310622081894102,0.335240228045551,0.9310622081894102
syn_determiner_ratio,0.9095035799568877,0.34089144152205164,0.9095035799568877
syn_advmod_ratio,0.8368409343048648,0.36091928106575755,0.8368409343048648
syn_adv_ratio,0.8187376103165582,0.3661597352596314,0.8187376103165582
lex_std_token_length,0.6897394708523974,0.40680806413193127,0.6897394708523974
syn_cconj_ratio,0.528083751215923,0.4678898188280908,0.528083751215923
syn_mean_tree_depth,0.48809436572206916,0.4852334552631853,0.48809436572206916
syn_amod_ratio,0.3738441733317258,0.5413054238606669,0.3738441733317258
syn_max_tree_depth,0.3606997181301503,0.5484989647284055,0.3606997181301503
syn_std_dependency_length,0.23285281526643797,0.6297122731189051,0.23285281526643797
len_audio_duration,0.23055911778067556,0.6314036334753603,0.23055911778067556
syn_obl_ratio,0.220429773201061,0.638999270303048,0.220429773201061
len_token_count,0.18393458251634517,0.668272175446271,0.18393458251634517
len_syllable_count,0.18393458251634517,0.668272175446271,0.18393458251634517
syn_max_dependency_length,0.10627545180572284,0.7446159978798768,0.10627545180572284
syn_obj_ratio,0.10164526296552535,0.7500505656862929,0.10164526296552535
pause_medium_count,0.07468164108484299,0.7847964573319062,0.07468164108484299
lex_mean_token_length,0.02725158821908345,0.8689740166624556,0.02725158821908345
