feature_name,permutation_importance_mean,permutation_importance_std,rank_metric,is_missingness_indicator
lex_brunet,0.012330854846903393,0.00509011783062975,0.012330854846903393,False
syn_amod_ratio,0.011745485614002637,0.00496599908210141,0.011745485614002637,False
lex_mattr_10,0.00912691082067144,0.0060819935240588804,0.00912691082067144,False
len_type_count,0.00783840576363547,0.005709511081180384,0.00783840576363547,False
syn_adv_ratio,0.00773333949106354,0.0032008368183512,0.00773333949106354,False
syn_verb_ratio,0.006629566341846349,0.0038040933816538792,0.006629566341846349,False
syn_utterance_count,0.005447282131806142,0.007742832616038932,0.005447282131806142,False
len_utterance_count,0.005447282131806142,0.007742832616038932,0.005447282131806142,False
disc_local_coherence,0.004782247263658579,0.005134580301776876,0.004782247263658579,False
disc_semantic_drift,0.004782247263658579,0.005134580301776876,0.004782247263658579,False
disc_adjacent_utterance_similarity_mean,0.004782247263658579,0.005134580301776876,0.004782247263658579,False
syn_pronoun_noun_ratio,0.004706045351683308,0.004872244424463162,0.004706045351683308,False
len_token_count,0.004282316538123998,0.0028158526936229687,0.004282316538123998,False
disc_repeated_bigram_ratio,0.004177250265552079,0.003134042455719384,0.004177250265552079,False
lex_hapax_ratio,0.004069874844132415,0.006018911197086083,0.004069874844132415,False
len_tokens_per_utterance,0.003904770701519378,0.006673489708602895,0.003904770701519378,False
len_mean_utterance_length,0.0037835403870132844,0.00644762791113524,0.0037835403870132844,False
syn_mean_utterance_length_words,0.0037835403870132844,0.00644762791113524,0.0037835403870132844,False
lex_mattr_20,0.0034972059298941983,0.0061572782882858765,0.0034972059298941983,False
lex_lemma_type_token_ratio,0.0030711679674871317,0.006006304336741286,0.0030711679674871317,False
disc_repeated_trigram_ratio,0.0029961206299357612,0.004520722113314034,0.0029961206299357612,False
len_syllable_count,0.002556227774442288,0.006102607285921422,0.002556227774442288,False
lex_repetition_rate,0.0024199879924259315,0.007982487764221488,0.0024199879924259315,False
lex_type_token_ratio,0.0024199879924259315,0.007982487764221488,0.0024199879924259315,False
disc_repeated_unigram_ratio,0.0024199879924259315,0.007982487764221488,0.0024199879924259315,False
syn_noun_verb_ratio,0.0023310857617881544,0.0030860737677637076,0.0023310857617881544,False
lex_content_word_ratio,0.0020435967302451785,0.00300815276303415,0.0020435967302451785,False
syn_content_function_ratio,0.0019373758832493925,0.0033382210936233818,0.0019373758832493925,False
syn_aux_verb_ratio,0.001741098231191951,0.0029372010267223383,0.001741098231191951,False
syn_propn_ratio,0.0016048584491756058,0.002566756835069268,0.0016048584491756058,False
syn_noun_ratio,0.0012411675056573923,0.0015884632238119677,0.0012411675056573923,False
syn_pronoun_ratio,0.0012250034637232288,0.003121045317787602,0.0012250034637232288,False
syn_mean_tree_depth,0.0011811296356162738,0.004279339571444888,0.0011811296356162738,False
lex_std_token_length,0.0011349466586615732,0.00599414756167615,0.0011349466586615732,False
syn_max_dependency_length,0.0004849212580242734,0.0031634327891735953,0.0004849212580242734,False
syn_open_closed_ratio,0.00022745116150183487,0.005385383779076821,0.00022745116150183487,False
disc_adjacent_utterance_similarity_std,0.00016741329146072737,0.005024044737978436,0.00016741329146072737,False
syn_clause_density,9.121137948546743e-05,0.003983032266055369,9.121137948546743e-05,False
syn_part_ratio,-0.00034752690158411647,0.004817244941466583,-0.00034752690158411647,False
len_std_utterance_length,-0.0005749780630859624,0.005066076806212541,-0.0005749780630859624,False
syn_adj_ratio,-0.0006950538031681886,0.004500689862823022,-0.0006950538031681886,False
syn_std_dependency_length,-0.0011799750611924732,0.003681060669400476,-0.0011799750611924732,False
syn_adp_ratio,-0.0013462337782293888,0.004046947891518399,-0.0013462337782293888,False
syn_cconj_ratio,-0.0015286565372004234,0.0019149667116126264,-0.0015286565372004234,False
disc_mean_pairwise_utt_similarity,-0.0015552117489493812,0.01011310587346409,-0.0015552117489493812,False
syn_obl_ratio,-0.001694915254237317,0.0029817800429780077,-0.001694915254237317,False
lex_mean_token_length,-0.001950076201912021,0.008667177953773595,-0.001950076201912021,False
syn_mean_dependency_length,-0.0020274326883111147,0.00266146910579507,-0.0020274326883111147,False
disc_immediate_repetition_count,-0.002376114164319065,0.003906530501811321,-0.002376114164319065,False
syn_obj_ratio,-0.002481180436890995,0.00234963951608727,-0.002481180436890995,False
syn_nsubj_ratio,-0.0029661016949152795,0.0032519565809748193,-0.0029661016949152795,False
syn_max_tree_depth,-0.0032535907264582553,0.0049008380929461085,-0.0032535907264582553,False
syn_subordination_ratio,-0.0036322911374867873,0.003388144630812234,-0.0036322911374867873,False
syn_num_ratio,-0.0038285687895442066,0.0066369678138474214,-0.0038285687895442066,False
syn_aux_ratio,-0.004388537385119851,0.003965368840150908,-0.004388537385119851,False
syn_interjection_ratio,-0.0048884681106544535,0.00270539331079782,-0.0048884681106544535,False
lex_honore,-0.005095136932526723,0.008475197657977667,-0.005095136932526723,False
syn_determiner_noun_ratio,-0.005175957142197396,0.0033524040138113217,-0.005175957142197396,False
lex_function_word_ratio,-0.005598531381332883,0.006088600796435088,-0.005598531381332883,False
syn_advmod_ratio,-0.005599685955756728,0.003949518803528783,-0.005599685955756728,False
syn_sconj_ratio,-0.006007250727381919,0.0038678555105717913,-0.006007250727381919,False
syn_determiner_ratio,-0.00620468295386325,0.0036006147107974125,-0.00620468295386325,False
