feature_group,permutation_importance_mean
syn,0.000767801857585134
disc,0.0002105263157894722
len,0.0001339712918660277
graph,0.00012631578947368098
ac,-8.822055137844546e-05
pause,-0.0001733746130030947
lex,-0.0006842105263157853
