feature_name,permutation_importance_mean,permutation_importance_std,rank_metric,is_missingness_indicator
len_std_utterance_length,0.17067183462532295,0.05679011075607019,0.17067183462532295,False
disc_mean_pairwise_utt_similarity,0.16214470284237723,0.03988253020607832,0.16214470284237723,False
lex_mattr_20,0.09605943152454777,0.020204359749208287,0.09605943152454777,False
lex_mean_token_length,0.08074935400516794,0.04079190109110374,0.08074935400516794,False
lex_mattr_10,0.06388888888888886,0.02173933382676644,0.06388888888888886,False
syn_max_dependency_length,0.06369509043927647,0.028097730685412273,0.06369509043927647,False
lex_std_token_length,0.06104651162790694,0.036142530464762186,0.06104651162790694,False
lex_repetition_rate,0.06085271317829453,0.01479821747205186,0.06085271317829453,False
lex_lemma_type_token_ratio,0.050968992248062006,0.02287305238008502,0.050968992248062006,False
syn_num_ratio,0.049354005167958626,0.01843791926732436,0.049354005167958626,False
syn_noun_ratio,0.04799741602067179,0.025508290212251466,0.04799741602067179,False
disc_repeated_bigram_ratio,0.0381782945736434,0.03165434002502649,0.0381782945736434,False
lex_type_token_ratio,0.03798449612403101,0.012993331355839376,0.03798449612403101,False
disc_repeated_unigram_ratio,0.03029715762273899,0.017109597219344217,0.03029715762273899,False
lex_content_word_ratio,0.01873385012919896,0.01964928969866136,0.01873385012919896,False
syn_pronoun_ratio,0.018023255813953476,0.018618664870041275,0.018023255813953476,False
len_token_count,0.015956072351421192,0.016170658455985847,0.015956072351421192,False
syn_pronoun_noun_ratio,0.013436692506459957,0.020075374263105992,0.013436692506459957,False
lex_brunet,0.007881136950904399,0.013559122219063748,0.007881136950904399,False
syn_determiner_ratio,-0.0025839793281653757,0.017215489572235024,-0.0025839793281653757,False
