feature_name,f_score,p_value
pause_median_duration,56.364073508520356,1.6679968001810494e-13
pause_silence_ratio,50.904004594112095,2.2416087059936795e-12
pause_speaking_to_total_ratio,50.90400459411205,2.2416087059936795e-12
pause_iqr_duration,49.34210233325829,4.732622588043871e-12
pause_short_count,47.38285955263662,1.2115791332940732e-11
pause_medium_count,46.09452462917308,2.25170913245945e-11
pause_total_duration,42.25275760641003,1.4407286964399722e-10
pause_long_count,38.27858429213539,9.956611546004977e-10
pause_to_speech_ratio,36.759566210406085,2.0922112902099843e-09
pause_mean_duration,34.028504082466576,7.994281022278294e-09
graph_self_loop_ratio,27.961748136523816,1.6135591906641845e-07
len_tokens_per_utterance,26.991076522636472,2.6195852503944637e-07
syn_mean_utterance_length_words,26.970003253916875,2.6473221074639753e-07
len_mean_utterance_length,26.970003253916875,2.6473221074639753e-07
pause_std_duration,26.186121468783874,3.9185645559223466e-07
lex_honore,20.849915175902044,5.781224749635323e-06
syn_utterance_count,20.64757001228937,6.407680176289518e-06
len_utterance_count,20.64757001228937,6.407680176289518e-06
disc_immediate_repetition_count,20.389275940556068,7.307655090798212e-06
pause_pause_to_word_ratio,19.57611896342886,1.1060676856925923e-05
lex_content_word_ratio,17.452174500308967,3.2836167005874227e-05
lex_function_word_ratio,17.4521745003089,3.2836167005874227e-05
syn_content_function_ratio,16.89362294310094,4.3777756602285846e-05
syn_open_closed_ratio,16.89362294310094,4.3777756602285846e-05
lex_mean_token_length,15.600412250721144,8.541588568425976e-05
syn_pronoun_ratio,13.777602168519994,0.00022060049492703877
graph_density,9.87531104323059,0.0017392842819948372
disc_repeated_trigram_ratio,9.763523059260613,0.001846846615009208
lex_hapax_ratio,9.634550916893403,0.0019793750509768094
disc_repeated_bigram_ratio,9.281130983601878,0.0023943013625044264
syn_determiner_ratio,8.973246318409622,0.0028274827371342274
syn_interjection_ratio,7.470161132104009,0.006416901650865961
syn_sconj_ratio,6.34877554205948,0.011947498228402298
ac_f0_mean,5.566201942968695,0.018559183528078057
lex_mattr_10,5.547037081852917,0.01876196984787384
lex_lemma_type_token_ratio,4.629765838437572,0.03173218155950002
lex_type_token_ratio,4.629765838437572,0.03173218155950002
disc_repeated_unigram_ratio,4.629765838437556,0.03173218155950002
lex_repetition_rate,4.629765838437556,0.03173218155950002
pause_long_ratio,4.070444973783083,0.0439862432888688
len_syllables_per_second,3.9274850656512936,0.04785813307808669
len_tokens_per_second,3.727947503846184,0.05387593736608797
pause_speech_rate_words_per_second,3.727947503846184,0.05387593736608797
disc_semantic_drift,3.291747022524186,0.0700179506973992
disc_adjacent_utterance_similarity_mean,3.291747022524115,0.07001795069740796
disc_local_coherence,3.291747022524115,0.07001795069740796
graph_node_count,3.080581632996759,0.07962983969478123
len_type_count,3.080581632996759,0.07962983969478123
ac_mfcc_5_mean,2.779856149796813,0.09586336925558031
ac_rms_std,2.7136879217426273,0.0998987396886866
pause_articulation_rate_words_per_speaking_second,2.264817290057694,0.1327518867275473
disc_adjacent_utterance_similarity_std,2.24107963052677,0.1347968993402232
lex_std_token_length,2.001079046125806,0.1575915101076271
ac_zcr_mean,1.6538127225081294,0.19882736663833422
graph_average_degree,1.5894092817827707,0.2077924265153163
disc_mean_pairwise_utt_similarity,1.5646645920757394,0.21136348093291457
len_std_utterance_length,1.5003228691472248,0.22099626182414348
ac_rms_mean,1.274716602287108,0.25923532866069093
lex_mattr_20,1.1285602633465361,0.28841570970511304
ac_mfcc_2_std,1.0693560147520706,0.30141561595657135
ac_mfcc_3_std,0.8896267208889059,0.34587432104357985
ac_f0_std,0.8656867429869421,0.3524437783884897
graph_edge_count,0.7273389112772782,0.39401231140202375
ac_duration,0.5911506961868194,0.442210255150459
len_audio_duration,0.5911506961868194,0.442210255150459
ac_mfcc_5_std,0.5580026282527067,0.45529416657236466
ac_mfcc_4_std,0.5481245273521359,0.45931070869874846
lex_brunet,0.513990294573823,0.4736339763107309
ac_zcr_std,0.48178874225807783,0.4878225578334511
len_syllable_count,0.39852722555128095,0.5280381893646695
ac_mfcc_2_mean,0.3559683879330133,0.5509292285381435
syn_cconj_ratio,0.30736500559509683,0.5794626245506352
ac_mfcc_4_mean,0.11296426996618578,0.7368858353267002
len_speech_duration,0.09625875355590786,0.756450281908932
pause_filled_count,0.07796347947045795,0.7801514261127407
ac_mfcc_3_mean,0.05026156052349857,0.8226682351546599
pause_filled_per_100_words,0.027609052394930802,0.8680748768949336
len_token_count,0.0005977988992045795,0.9805000594316073
ac_mfcc_1_mean,0.0004765045859031609,0.982590028309675
ac_mfcc_1_std,0.0003061761941366987,0.9860439480649295
