feature_group,abs_coefficient
len,0.35158105396110234
graph,0.23288240352993808
lex,0.17178720339140793
pause,0.1709914113578407
ac,0.07763083120266923
disc,0.06600417906243758
syn,0.058699052148694565
missingindicator,0.04709472569622387
