baseline,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_task_dataset,0.7014602743493656,0.6611231663918062,0.7923728813559322,0.6105476673427992,0.49340369393139843,0.7450536322068277,0.5207165198742255
dataset_only,0.7014602743493656,0.6611231663918062,0.7923728813559322,0.6105476673427992,0.49340369393139843,0.7449333035376628,0.5193939146877659
duration_style_only,0.5614320830611613,0.4977826800584258,0.7415254237288136,0.3813387423935091,0.3645833333333333,0.5952401416440334,0.40426401667228284
task_only,0.5410062914704163,0.5363667038169344,0.4491525423728814,0.6328600405679513,0.3693379790940767,0.6099932959741465,0.4066098942206644
majority,0.5,0.4034369885433715,0.0,1.0,0.0,,
language_only,0.49937257193935436,0.4814388356669123,0.16101694915254236,0.8377281947261663,0.3220338983050847,0.5804397153367484,0.3689286386047762
